,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy,time,Fz
18.05,-3.774074,8.641563,554.504601,31.56046,9.083772,0.272659,-0.016382,0.056916,0.05,554.504601
18.051,-3.951147,8.819441,554.331177,31.585226,9.052429,0.272422,-0.01633,0.056979,0.051,554.331177
18.052,-3.774176,8.819247,554.332606,31.584772,9.060879,0.272462,-0.016346,0.056978,0.052,554.332606
18.053,-3.773669,8.819032,554.16082,31.617543,9.08383,0.272515,-0.016392,0.057055,0.053,554.16082
18.054,-3.862467,8.907042,554.33178,31.646598,9.102629,0.243763,-0.016421,0.05709,0.054,554.33178
18.055,-3.951177,8.994751,554.333277,31.642659,9.098194,0.248551,-0.016413,0.057082,0.055,554.333277
18.056,-3.862467,8.907042,554.33178,31.646598,9.102629,0.243763,-0.016421,0.05709,0.056,554.33178
18.057,-3.951041,8.99593,554.159449,31.740799,9.121538,0.272541,-0.01646,0.057277,0.057,554.159449
18.058,-3.951108,9.083884,554.160432,31.7367,9.12142,0.260526,-0.01646,0.05727,0.058,554.160432
18.059,-3.950799,9.171718,554.33289,31.699891,9.144409,0.2486,-0.016496,0.057186,0.059,554.33289
18.06,-3.950767,9.173495,554.158929,31.732401,9.121752,0.272432,-0.016461,0.057262,0.06,554.158929
18.061,-3.862271,9.173218,553.988327,31.699151,9.148911,0.289265,-0.016515,0.05722,0.061,553.988327
18.062,-4.038801,9.261151,553.816096,31.728277,9.163293,0.277265,-0.016546,0.05729,0.062,553.816096
18.063,-4.03846,9.350762,553.814592,31.723979,9.163625,0.28917,-0.016546,0.057283,0.063,553.814592
18.064,-4.03846,9.350762,553.814592,31.723979,9.163625,0.28917,-0.016546,0.057283,0.064,553.814592
18.065,-4.038291,9.350924,553.642048,31.691024,9.186651,0.289162,-0.016593,0.057241,0.065,553.642048
18.066,-4.126427,9.350465,553.470776,31.723954,9.205284,0.306018,-0.016632,0.057318,0.066,553.470776
18.067,-4.126191,9.262673,553.297249,31.695098,9.228428,0.318024,-0.016679,0.057284,0.067,553.297249
18.068,-4.215063,9.263069,553.296376,31.761057,9.178162,0.301102,-0.016588,0.057403,0.068,553.296376
18.069,-4.126567,9.262792,553.125774,31.727808,9.205321,0.317935,-0.016642,0.057361,0.069,553.125774
18.07,-4.215148,9.17332,552.955872,31.699406,9.177621,0.322727,-0.016597,0.057327,0.07,552.955872
18.071,-4.214638,9.263092,552.781824,31.662153,9.200979,0.334624,-0.016645,0.057278,0.071,552.781824
18.072,-4.125568,9.174647,552.438454,31.665772,9.251207,0.363526,-0.016746,0.05732,0.072,552.438454
18.073,-4.125438,8.997465,552.267055,31.641311,9.227943,0.36353,-0.016709,0.057293,0.073,552.267055
18.074,-4.21296,8.820669,551.749383,31.61696,9.246522,0.346738,-0.016759,0.057303,0.074,551.749383
18.075,-4.21296,8.820669,551.749383,31.61696,9.246522,0.346738,-0.016759,0.057303,0.075,551.749383
18.076,-4.212826,8.910561,551.40386,31.612416,9.246773,0.358546,-0.01677,0.057331,0.076,551.40386
18.077,-4.124331,8.910284,551.233259,31.579166,9.273932,0.375379,-0.016824,0.057288,0.077,551.233259
18.078,-4.12406,8.732762,551.232711,31.521899,9.319851,0.375569,-0.016907,0.057184,0.078,551.232711
18.079,-4.034912,8.555704,551.232272,31.464568,9.324011,0.358859,-0.016915,0.05708,0.079,551.232272
18.08,-4.035059,8.555184,551.062185,31.431478,9.346853,0.392495,-0.016962,0.057038,0.08,551.062185
18.081,-4.035199,8.467511,550.717183,31.435332,9.346889,0.404412,-0.016972,0.057081,0.081,550.717183
18.082,-4.034426,8.2885,550.375416,31.378176,9.392259,0.38063,-0.017065,0.057012,0.082,550.375416
18.083,-4.122457,8.200344,550.373878,31.31677,9.434193,0.409527,-0.017141,0.056901,0.083,550.373878
18.084,-4.122185,8.199908,550.201468,31.349445,9.503219,0.409677,-0.017272,0.056978,0.084,550.201468
18.085,-4.121887,8.022888,549.857525,31.292029,9.502981,0.409673,-0.017283,0.056909,0.085,549.857525
18.086,-4.121746,8.022548,550.028376,31.259224,9.572164,0.409857,-0.017403,0.056832,0.086,550.028376
18.087,-4.120772,7.845474,549.340102,31.201623,9.617902,0.409898,-0.017508,0.056798,0.087,549.340102
18.088,-4.121077,7.756121,549.512323,31.107487,9.640752,0.398019,-0.017544,0.056609,0.088,549.512323
18.089,-4.120675,7.578503,549.168514,31.115701,9.686515,0.398173,-0.017639,0.05666,0.089,549.168514
18.09,-4.120502,7.579939,549.165403,31.115406,9.733041,0.42219,-0.017723,0.056659,0.09,549.165403
18.091,-4.119828,7.4028,548.992935,31.025279,9.755909,0.422274,-0.017771,0.056513,0.091,548.992935
18.092,-4.119216,7.314888,548.990883,30.963714,9.80216,0.434369,-0.017855,0.056401,0.092,548.990883
18.093,-4.118817,7.225983,548.475379,30.869244,9.82483,0.422342,-0.017913,0.056282,0.093,548.475379
18.094,-4.207317,7.136972,548.302395,30.840883,9.84339,0.393586,-0.017952,0.056248,0.094,548.302395
18.095,-4.207046,6.95945,548.301847,30.783616,9.889309,0.393775,-0.018036,0.056144,0.095,548.301847
18.096,-4.206022,6.958776,548.472387,30.750872,10.00455,0.394102,-0.018241,0.056066,0.096,548.472387
18.097,-4.205786,6.870984,548.29886,30.722017,10.027694,0.406108,-0.018289,0.056032,0.097,548.29886
18.098,-4.294367,6.693498,547.954807,30.664664,10.069214,0.423002,-0.018376,0.055962,0.098,547.954807
18.099,-4.205352,6.604336,547.782184,30.570185,10.142358,0.394366,-0.018515,0.055807,0.099,547.782184
18.1,-4.293848,6.516599,547.778634,30.574483,10.184419,0.389635,-0.018592,0.055815,0.1,547.778634
18.101,-4.294152,6.427245,547.950855,30.480347,10.207269,0.377756,-0.018628,0.055626,0.101,547.950855
18.102,-4.293503,6.42669,547.94992,30.480313,10.299402,0.377994,-0.018796,0.055626,0.102,547.94992
18.103,-4.382338,6.427343,548.119763,30.447837,10.272318,0.361099,-0.018741,0.05555,0.103,548.119763
18.104,-4.471114,6.249194,548.291649,30.42359,10.33697,0.378195,-0.018853,0.055488,0.104,548.291649
18.105,-4.383048,6.159607,548.292014,30.427634,10.387031,0.349583,-0.018944,0.055495,0.105,548.292014
18.106,-4.47155,6.159022,548.463379,30.394989,10.451896,0.366571,-0.019057,0.055418,0.106,548.463379
18.107,-4.470731,6.07083,548.805346,30.333668,10.498228,0.378762,-0.019129,0.055272,0.107,548.805346
18.108,-4.471683,5.981117,548.634751,30.370582,10.520865,0.366864,-0.019176,0.055357,0.108,548.634751
18.109,-4.55987,5.981215,548.803659,30.338072,10.585915,0.350207,-0.019289,0.05528,0.109,548.803659
18.11,-4.559729,5.980875,548.97451,30.305267,10.655098,0.350392,-0.019409,0.055203,0.11,548.97451
18.111,-4.559351,6.070743,549.143724,30.202533,10.678612,0.362324,-0.019446,0.054999,0.111,549.143724
18.112,-4.64857,5.980667,549.145117,30.206896,10.720038,0.367317,-0.019521,0.055007,0.112,549.145117
18.113,-4.736651,6.158168,549.486049,30.198943,10.762276,0.35056,-0.019586,0.054959,0.113,549.486049
18.114,-4.737018,6.158042,549.828686,30.133368,10.808508,0.350691,-0.019658,0.054805,0.114,549.828686
18.115,-4.736914,6.157445,549.82882,30.198998,10.854509,0.350849,-0.019742,0.054924,0.115,549.82882
18.116,-4.73684,6.245058,550.000654,30.162095,10.923574,0.33902,-0.019861,0.05484,0.116,550.000654
18.117,-4.825403,6.245275,549.998087,30.162294,10.965517,0.322274,-0.019937,0.054841,0.117,549.998087
18.118,-4.825129,6.42284,549.997566,30.153897,10.965731,0.322165,-0.019938,0.054826,0.118,549.997566
18.119,-4.825092,6.423097,550.168283,30.055462,10.988913,0.322192,-0.019974,0.05463,0.119,550.168283
18.12,-4.913721,6.511268,550.166699,30.051563,11.030737,0.293431,-0.02005,0.054623,0.12,550.166699
18.121,-4.91338,6.600879,550.165196,30.047264,11.031069,0.305337,-0.02005,0.054615,0.121,550.165196
18.122,-4.913177,6.51131,550.16563,29.985898,11.07687,0.293512,-0.020134,0.054503,0.122,550.16563
18.123,-4.913816,6.510707,550.336926,30.018663,11.145996,0.293713,-0.020253,0.054546,0.123,550.336926
18.124,-5.001808,6.687908,550.508395,29.977715,11.165,0.310494,-0.020281,0.054455,0.124,550.508395
18.125,-5.091047,6.688178,550.850158,29.978099,11.160966,0.293704,-0.020261,0.054422,0.125,550.850158
18.126,-5.002236,6.688584,550.6771,29.944985,11.188309,0.276893,-0.020317,0.054378,0.126,550.6771
18.127,-5.179169,6.776134,550.676788,30.006971,11.225741,0.264997,-0.020385,0.054491,0.127,550.676788
18.128,-5.178748,6.866207,550.672204,30.002712,11.272334,0.243355,-0.02047,0.054484,0.128,550.672204
18.129,-5.267354,6.86622,550.843435,29.904437,11.291198,0.260184,-0.020498,0.054288,0.129,550.843435
18.13,-5.355577,6.86606,550.841626,29.970362,11.333066,0.2435,-0.020574,0.054408,0.13,550.841626
18.131,-5.356387,6.954008,551.013771,29.933397,11.356073,0.231528,-0.020609,0.054324,0.131,551.013771
18.132,-5.356791,6.953625,551.185691,29.966257,11.379123,0.231633,-0.020645,0.054367,0.132,551.185691
18.133,-5.355571,6.953615,550.840292,29.900408,11.471232,0.231758,-0.020825,0.054281,0.133,550.840292
18.134,-5.35591,6.953991,550.839534,29.834683,11.471307,0.231696,-0.020825,0.054162,0.134,550.839534
18.135,-5.355363,7.13112,550.666603,29.858961,11.540548,0.231737,-0.020957,0.054223,0.135,550.666603
18.136,-5.443718,7.131056,551.008056,29.859406,11.582572,0.215088,-0.021021,0.054191,0.136,551.008056
18.137,-5.44355,7.131218,550.835512,29.826451,11.605598,0.21508,-0.021069,0.054148,0.137,550.835512
18.138,-5.532724,7.219346,550.834997,29.888216,11.60129,0.18624,-0.021061,0.05426,0.138,550.834997
18.139,-5.533128,7.218964,551.006917,29.921076,11.62434,0.186344,-0.021097,0.054303,0.139,551.006917
18.14,-5.532175,7.220663,551.003361,29.855212,11.670922,0.210345,-0.021181,0.054183,0.14,551.003361
18.141,-5.532415,7.219168,550.833304,29.822457,11.693498,0.186416,-0.021229,0.054141,0.141,550.833304
18.142,-5.532314,7.307283,550.661743,29.785403,11.716406,0.174393,-0.021277,0.05409,0.142,550.661743
18.143,-5.533056,7.307277,550.832905,29.752538,11.739531,0.174436,-0.021312,0.054014,0.143,550.832905
18.144,-5.709309,7.396962,551.001448,29.715983,11.75452,0.18639,-0.021333,0.053931,0.144,551.001448
18.145,-5.621217,7.396303,551.002766,29.715593,11.804729,0.203328,-0.021424,0.05393,0.145,551.002766
18.146,-5.709376,7.396903,550.82828,29.682934,11.823621,0.186478,-0.021465,0.053888,0.146,550.82828
18.147,-5.797535,7.397503,550.653793,29.650274,11.842514,0.169628,-0.021506,0.053846,0.147,550.653793
18.148,-5.796859,7.39745,550.309463,29.65009,11.888491,0.169673,-0.021603,0.053879,0.148,550.309463
18.149,-5.797263,7.397067,550.481383,29.682949,11.911541,0.169778,-0.021638,0.053922,0.149,550.481383
18.15,-5.797094,7.397229,550.308839,29.649995,11.934566,0.169769,-0.021687,0.053879,0.15,550.308839
18.151,-5.797842,7.395948,550.310567,29.584469,11.934191,0.145787,-0.021686,0.05376,0.151,550.310567
18.152,-5.885636,7.4851,550.137792,29.613101,11.953157,0.174548,-0.021728,0.053829,0.152,550.137792
18.153,-5.885742,7.307697,549.965769,29.588544,11.975968,0.174649,-0.021776,0.053801,0.153,549.965769
18.154,-5.974032,7.308393,550.134543,29.490404,11.995017,0.157834,-0.021804,0.053606,0.154,550.134543
18.155,-5.885195,7.397727,549.962438,29.452855,12.022508,0.186573,-0.021861,0.053554,0.155,549.962438
18.156,-5.973695,7.308716,549.789455,29.424494,12.041069,0.157817,-0.021901,0.05352,0.156,549.789455
18.157,-6.062102,7.22068,549.616442,29.395798,12.059895,0.186625,-0.021942,0.053484,0.157,549.616442
18.158,-5.973256,7.131356,549.616363,29.334273,12.110014,0.157997,-0.022034,0.053372,0.158,549.616363
18.159,-5.973464,7.131637,549.272344,29.334028,12.109932,0.1579,-0.022047,0.053405,0.159,549.272344
18.16,-5.973664,7.041685,549.444698,29.305522,12.178783,0.146179,-0.022166,0.053337,0.16,549.444698
18.161,-6.062072,6.953649,549.271685,29.276825,12.197609,0.174988,-0.022207,0.053301,0.161,549.271685
18.162,-6.062072,6.953649,549.271685,29.276825,12.197609,0.174988,-0.022207,0.053301,0.162,549.271685
18.163,-6.062072,6.953649,549.271685,29.276825,12.197609,0.174988,-0.022207,0.053301,0.163,549.271685
18.164,-6.061764,6.776384,549.441854,29.121124,12.26671,0.175204,-0.022326,0.053001,0.164,549.441854
18.165,-6.149856,6.68903,549.266384,29.092563,12.285721,0.170368,-0.022368,0.052966,0.165,549.266384
18.166,-6.149819,6.689287,549.437101,28.994128,12.308903,0.170395,-0.022403,0.052771,0.166,549.437101
18.167,-6.149992,6.599838,549.266061,28.965472,12.331597,0.15848,-0.022451,0.052735,0.167,549.266061
18.168,-6.238191,6.511521,549.437067,28.93702,12.350504,0.187386,-0.022478,0.052667,0.168,549.437067
18.169,-6.149207,6.601376,549.43505,28.932562,12.355154,0.182489,-0.022487,0.052659,0.169,549.43505
18.17,-6.149407,6.511425,549.607404,28.904056,12.424004,0.170768,-0.022605,0.05259,0.17,549.607404
18.171,-6.238495,6.422167,549.609288,28.842884,12.373354,0.175507,-0.022513,0.052479,0.171,549.609288
18.172,-6.326995,6.333156,549.436305,28.814524,12.391915,0.146751,-0.022554,0.052444,0.172,549.436305
18.173,-6.149852,6.334398,549.434623,28.813774,12.446891,0.170807,-0.022654,0.052443,0.173,549.434623
18.174,-6.237976,6.245268,549.433115,28.752703,12.488559,0.14214,-0.02273,0.052332,0.174,549.433115
18.175,-6.238315,6.245645,549.432357,28.686978,12.488634,0.142078,-0.02273,0.052212,0.175,549.432357
18.176,-6.238591,6.156506,549.777226,28.691091,12.534724,0.18793,-0.0228,0.052187,0.176,549.777226
18.177,-6.326139,6.157208,549.774838,28.625817,12.530648,0.171072,-0.022792,0.052068,0.177,549.774838
18.178,-6.326272,5.979303,549.94621,28.60141,12.599617,0.171366,-0.022911,0.052008,0.178,549.94621
18.179,-6.326611,5.97968,549.945452,28.535685,12.599692,0.171304,-0.022911,0.051888,0.179,549.945452
18.18,-6.326784,5.89023,549.774411,28.507029,12.622386,0.15939,-0.022959,0.051852,0.18,549.774411
18.181,-6.238205,5.802616,550.116175,28.445488,12.626977,0.154637,-0.022953,0.051708,0.181,550.116175
18.182,-6.32668,5.802534,549.944145,28.412693,12.645686,0.171431,-0.022994,0.051665,0.182,549.944145
