,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy,Time
3.588,-4.375106,6.041573,547.732824,-57.923611,-2.787457,-0.436111,0.005089,-0.105752,1
3.589,-4.375339,5.953553,548.247647,-57.952038,-2.810208,-0.424052,0.005126,-0.105704,1.001
3.59,-4.463813,5.95347,548.075617,-57.984833,-2.7915,-0.407259,0.005093,-0.105797,1.002
3.591,-4.464221,5.951813,548.078103,-57.984633,-2.79195,-0.431179,0.005094,-0.105796,1.003
3.592,-4.464729,5.952028,548.249889,-58.017404,-2.814901,-0.431232,0.005134,-0.105823,1.004
3.593,-4.4634,5.953608,548.417809,-58.115978,-2.745211,-0.407143,0.005006,-0.10597,1.005
3.594,-4.552368,5.864369,548.933175,-58.14391,-2.772546,-0.435847,0.005051,-0.105922,1.006
3.595,-4.552368,5.864369,548.933175,-58.14391,-2.772546,-0.435847,0.005051,-0.105922,1.007
3.596,-4.640935,5.863312,548.761174,-58.176369,-2.754103,-0.476618,0.005019,-0.106014,1.008
3.597,-4.464029,5.77526,549.104881,-58.238205,-2.745378,-0.464529,0.005,-0.10606,1.009
3.598,-4.464537,5.775474,549.276667,-58.270976,-2.768329,-0.464582,0.00504,-0.106087,1.01
3.599,-4.464161,5.775355,549.448142,-58.303685,-2.745222,-0.464494,0.004996,-0.106113,1.011
3.6,-4.464668,5.77557,549.619928,-58.336456,-2.768173,-0.464547,0.005037,-0.10614,1.012
3.601,-4.464668,5.77557,549.619928,-58.336456,-2.768173,-0.464547,0.005037,-0.10614,1.013
3.602,-4.464834,5.865395,549.79021,-58.373526,-2.790792,-0.452695,0.005076,-0.106174,1.014
3.603,-4.464562,5.865873,549.961551,-58.471865,-2.813686,-0.452765,0.005116,-0.10632,1.015
3.604,-4.465475,5.775718,550.307519,-58.401752,-2.813993,-0.464557,0.005113,-0.106126,1.016
3.605,-4.465265,5.865424,550.649276,-58.471531,-2.813505,-0.452616,0.005109,-0.106187,1.017
3.606,-4.465684,5.865339,550.651599,-58.537297,-2.85969,-0.419131,0.005193,-0.106306,1.018
3.607,-4.465684,5.865339,550.651599,-58.537297,-2.85969,-0.419131,0.005193,-0.106306,1.019
3.608,-4.55418,5.865616,550.822201,-58.504048,-2.886849,-0.435964,0.005241,-0.106212,1.02
3.609,-4.464967,5.954831,550.821571,-58.574306,-2.836251,-0.407136,0.005149,-0.10634,1.021
3.61,-4.464967,5.954831,550.821571,-58.574306,-2.836251,-0.407136,0.005149,-0.10634,1.022
3.611,-4.376596,5.955511,550.993466,-58.607141,-2.900961,-0.424088,0.005265,-0.106366,1.023
3.612,-4.377382,6.042399,551.168826,-58.578516,-2.878213,-0.402354,0.005222,-0.106281,1.024
3.613,-4.376665,6.131891,551.338798,-58.615524,-2.854774,-0.39036,0.005178,-0.106315,1.025
3.614,-4.288398,6.132254,551.166808,-58.582974,-2.873563,-0.407251,0.005214,-0.106289,1.026
3.615,-4.199898,6.221265,551.339792,-58.554613,-2.892124,-0.378495,0.005246,-0.106204,1.027
3.616,-4.376324,6.221501,551.337294,-58.619823,-2.854442,-0.378454,0.005177,-0.106323,1.028
3.617,-4.464967,6.221257,551.337808,-58.619664,-2.858759,-0.361652,0.005185,-0.106323,1.029
3.618,-4.376741,6.398503,551.167755,-58.595647,-2.877519,-0.345008,0.005221,-0.106312,1.03
3.619,-4.28837,6.399183,551.339651,-58.628482,-2.942228,-0.36196,0.005337,-0.106338,1.031
3.62,-4.376506,6.398724,551.168379,-58.595552,-2.923595,-0.345104,0.005304,-0.106312,1.032
3.621,-4.376165,6.488335,551.166876,-58.599851,-2.923263,-0.333198,0.005304,-0.10632,1.033
3.622,-4.3764,6.576127,551.340402,-58.570995,-2.946406,-0.345205,0.005344,-0.106234,1.034
3.623,-4.287837,6.487896,551.168818,-58.600146,-2.919129,-0.316357,0.005296,-0.10632,1.035
3.624,-4.287496,6.577507,551.167315,-58.604444,-2.918797,-0.304451,0.005296,-0.106328,1.036
3.625,-4.287872,6.577627,550.99584,-58.571735,-2.941905,-0.30454,0.005339,-0.106302,1.037
3.626,-4.376435,6.665857,551.167424,-58.542584,-2.969181,-0.333388,0.005387,-0.106216,1.038
3.627,-4.37675,6.665175,551.169881,-58.54272,-2.969366,-0.299743,0.005387,-0.106215,1.039
3.628,-4.287974,6.843323,550.997995,-58.518472,-3.034017,-0.31684,0.005506,-0.106205,1.04
3.629,-4.287801,6.84476,550.994884,-58.518767,-2.987491,-0.292823,0.005422,-0.106206,1.041
3.63,-4.287088,6.932977,550.995422,-58.588435,-2.987552,-0.304854,0.005422,-0.106332,1.042
3.631,-4.376107,6.932852,550.824461,-58.555566,-3.014977,-0.28814,0.005474,-0.106305,1.043
3.632,-4.199709,6.932113,551.170354,-58.490206,-3.006502,-0.287988,0.005455,-0.10612,1.044
3.633,-4.199368,7.021724,551.16885,-58.494505,-3.00617,-0.276082,0.005454,-0.106128,1.045
3.634,-4.198964,7.022107,550.99693,-58.527365,-3.02922,-0.276187,0.005498,-0.106221,1.046
3.635,-4.199031,7.11006,550.997913,-58.531463,-3.029338,-0.288201,0.005498,-0.106228,1.047
3.636,-4.199408,7.11018,550.826438,-58.498754,-3.052445,-0.28829,0.005542,-0.106202,1.048
3.637,-4.199641,7.287959,550.997704,-58.539922,-3.075182,-0.288452,0.005581,-0.106243,1.049
3.638,-4.288452,7.287553,551.170762,-58.506808,-3.102525,-0.271642,0.005629,-0.10615,1.05
3.639,-4.199468,7.377408,551.168744,-58.511266,-3.097875,-0.276538,0.005621,-0.106159,1.051
3.64,-4.198686,7.554758,550.996437,-58.486893,-3.07471,-0.276594,0.00558,-0.106147,1.052
3.641,-4.199635,7.554333,551.169426,-58.388369,-3.097793,-0.276569,0.00562,-0.105935,1.053
3.642,-4.110933,7.642488,551.171149,-58.524058,-3.093646,-0.27182,0.005613,-0.106181,1.054
3.643,-4.11131,7.642608,550.999674,-58.491348,-3.116753,-0.271909,0.005657,-0.106155,1.055
3.644,-4.111985,7.642661,551.344004,-58.491164,-3.16273,-0.271954,0.005736,-0.106088,1.056
3.645,-4.200039,7.820664,551.34154,-58.499267,-3.166649,-0.288904,0.005744,-0.106103,1.057
3.646,-4.111947,7.908017,551.51701,-58.470706,-3.18566,-0.284069,0.005776,-0.106018,1.058
3.647,-4.112051,7.908615,551.516876,-58.536336,-3.23166,-0.284227,0.00586,-0.106137,1.059
3.648,-4.112113,7.997843,551.687292,-58.507775,-3.208278,-0.272217,0.005815,-0.106052,1.06
3.649,-4.112346,8.175622,551.858558,-58.548944,-3.231015,-0.272379,0.005855,-0.106094,1.061
3.65,-4.024019,8.175184,551.8605,-58.549239,-3.226882,-0.255537,0.005847,-0.106094,1.062
3.651,-4.024123,8.175781,551.860366,-58.614869,-3.272883,-0.255696,0.005931,-0.106213,1.063
3.652,-4.113597,8.263844,552.375656,-58.585629,-3.300061,-0.284492,0.005974,-0.106061,1.064
3.653,-4.025267,8.353393,552.375338,-58.655948,-3.295521,-0.255807,0.005966,-0.106189,1.065
3.654,-4.02455,8.442884,552.545309,-58.692957,-3.272082,-0.243813,0.005922,-0.106223,1.066
3.655,-4.02455,8.442884,552.545309,-58.692957,-3.272082,-0.243813,0.005922,-0.106223,1.067
3.656,-4.025057,8.443099,552.717095,-58.725727,-3.295032,-0.243866,0.005962,-0.106249,1.068
3.657,-4.025357,8.443033,553.2329,-58.758253,-3.317902,-0.243823,0.005997,-0.106209,1.069
3.658,-4.025255,8.531148,553.061339,-58.795306,-3.294994,-0.255846,0.005958,-0.106309,1.07
3.659,-4.02559,8.620812,553.404165,-58.799421,-3.340639,-0.243985,0.006037,-0.10625,1.071
3.66,-4.026434,8.53269,553.746888,-58.795233,-3.340422,-0.23192,0.006032,-0.106177,1.072
3.661,-4.026162,8.533168,553.918229,-58.893573,-3.363316,-0.231989,0.006072,-0.106322,1.073
3.662,-4.115379,8.621093,554.091512,-58.930283,-3.390702,-0.227255,0.006119,-0.106355,1.074
3.663,-4.026422,8.710446,554.43289,-58.934592,-3.339895,-0.231958,0.006024,-0.106297,1.075
3.664,-4.026591,8.710284,554.605434,-58.901637,-3.362921,-0.23195,0.006064,-0.106205,1.076
3.665,-4.115872,8.71035,555.120995,-58.999729,-3.390033,-0.215166,0.006107,-0.106283,1.077
3.666,-4.20342,8.711051,555.118607,-59.065003,-3.394109,-0.232024,0.006114,-0.106401,1.078
3.667,-4.026918,8.888416,555.290677,-59.106721,-3.36232,-0.232051,0.006055,-0.106443,1.079
3.668,-4.026918,8.888416,555.290677,-59.106721,-3.36232,-0.232051,0.006055,-0.106443,1.08
3.669,-4.027218,8.888349,555.806482,-59.139246,-3.385189,-0.232007,0.006091,-0.106403,1.081
3.67,-4.027349,8.888445,556.149743,-59.204727,-3.385033,-0.231972,0.006087,-0.106455,1.082
3.671,-4.027857,8.888659,556.321529,-59.237497,-3.407984,-0.232026,0.006126,-0.106481,1.083
3.672,-4.116567,8.976369,556.323026,-59.241437,-3.412419,-0.227238,0.006134,-0.106487,1.084
3.673,-4.205334,8.889068,556.491886,-59.269813,-3.439386,-0.232119,0.00618,-0.106506,1.085
3.674,-4.028871,8.889089,556.665101,-59.303038,-3.453886,-0.232133,0.006205,-0.106533,1.086
3.675,-4.117397,8.977576,557.007402,-59.372322,-3.457981,-0.260954,0.006208,-0.106592,1.087
3.676,-4.117397,8.977576,557.007402,-59.372322,-3.457981,-0.260954,0.006208,-0.106592,1.088
3.677,-4.117905,8.977791,557.179188,-59.405093,-3.480932,-0.261008,0.006247,-0.106618,1.089
3.678,-4.11763,9.155356,557.178667,-59.413491,-3.480718,-0.261117,0.006247,-0.106633,1.09
3.679,-4.207122,9.065715,557.352471,-59.441803,-3.508318,-0.256273,0.006295,-0.10665,1.091
3.68,-4.206597,9.156104,557.691772,-59.511447,-3.507645,-0.277977,0.00629,-0.10671,1.092
3.681,-4.118608,9.156042,557.692956,-59.577467,-3.503437,-0.261197,0.006282,-0.106828,1.093
3.682,-4.118546,9.066814,557.52254,-59.606028,-3.526819,-0.273207,0.006326,-0.106912,1.094
3.683,-4.207784,9.067084,557.864303,-59.605644,-3.530853,-0.289998,0.006329,-0.106846,1.095
3.684,-4.206972,9.069124,557.689897,-59.638703,-3.553454,-0.266183,0.006372,-0.106939,1.096
3.685,-4.206972,9.069124,557.689897,-59.638703,-3.553454,-0.266183,0.006372,-0.106939,1.097
3.686,-4.207445,8.979609,558.034661,-59.699885,-3.553629,-0.278053,0.006368,-0.106982,1.098
3.687,-4.207952,8.979823,558.206447,-59.732655,-3.57658,-0.278107,0.006407,-0.107008,1.099
3.688,-4.119243,9.157913,557.861393,-59.741457,-3.57213,-0.295115,0.006403,-0.10709,1.1
3.689,-4.120126,9.158247,557.861704,-59.741518,-3.618188,-0.295257,0.006486,-0.10709,1.101
3.69,-4.120128,8.981161,558.033566,-59.831461,-3.641296,-0.295218,0.006525,-0.107218,1.102
3.691,-4.120297,8.980999,558.20611,-59.798506,-3.664322,-0.295209,0.006564,-0.107126,1.103
3.692,-4.121145,8.891603,558.3794,-59.826978,-3.687605,-0.307168,0.006604,-0.107144,1.104
3.693,-4.121586,8.803864,558.550203,-59.855649,-3.710438,-0.295207,0.006643,-0.107163,1.105
3.694,-4.209913,8.804302,558.54826,-59.855354,-3.714571,-0.312049,0.00665,-0.107162,1.106
3.695,-4.121758,8.714415,558.379162,-59.884305,-3.687744,-0.307121,0.006604,-0.107247,1.107
3.696,-4.032878,8.804867,558.377011,-59.954394,-3.729095,-0.312176,0.006678,-0.107373,1.108
3.697,-4.033794,8.803425,558.551283,-59.986964,-3.752496,-0.33615,0.006718,-0.107397,1.109
3.698,-4.211648,8.803953,558.550166,-59.986571,-3.807005,-0.336332,0.006816,-0.107397,1.11
3.699,-4.035185,8.803974,558.72338,-60.019796,-3.821505,-0.336346,0.00684,-0.107423,1.111
3.7,-3.946475,8.716264,558.721883,-60.015856,-3.81707,-0.341133,0.006832,-0.107416,1.112
3.701,-3.946579,8.716862,558.721749,-60.081486,-3.863071,-0.341292,0.006914,-0.107534,1.113
3.702,-3.947086,8.717077,558.893535,-60.114257,-3.886021,-0.341345,0.006953,-0.107559,1.114
3.703,-3.947867,8.539727,559.065842,-60.13863,-3.909186,-0.34129,0.006992,-0.10757,1.115
3.704,-4.036676,8.629308,559.236638,-60.17554,-3.936123,-0.312635,0.007038,-0.107603,1.116
3.705,-3.947865,8.629714,559.06358,-60.208654,-3.90878,-0.329446,0.006992,-0.107696,1.117
3.706,-3.859201,8.717612,558.894586,-60.245907,-3.927814,-0.324724,0.007028,-0.107795,1.118
3.707,-3.860726,8.628269,559.412205,-60.274195,-3.997074,-0.336728,0.007145,-0.107746,1.119
3.708,-3.861268,8.718214,559.411013,-60.278555,-4.0428,-0.324964,0.007227,-0.107754,1.12
3.709,-3.772221,8.718841,559.238579,-60.311574,-4.061532,-0.341871,0.007263,-0.107846,1.121
3.71,-3.772325,8.719438,559.238445,-60.377204,-4.107533,-0.342029,0.007345,-0.107963,1.122
3.711,-3.773612,8.71939,559.410676,-60.344405,-4.130541,-0.342067,0.007384,-0.107871,1.123
3.712,-3.684909,8.718832,559.584093,-60.37741,-4.103301,-0.325136,0.007333,-0.107897,1.124
3.713,-3.685725,8.631213,559.583421,-60.373372,-4.149241,-0.313264,0.007415,-0.10789,1.125
3.714,-3.68498,8.721206,559.409998,-60.410531,-4.171959,-0.301463,0.007458,-0.10799,1.126
3.715,-3.685399,8.721121,559.412321,-60.476296,-4.218144,-0.267977,0.00754,-0.108107,1.127
3.716,-3.596992,8.809157,559.585333,-60.4476,-4.236971,-0.296786,0.007572,-0.108022,1.128
3.717,-3.685907,8.721336,559.584107,-60.509067,-4.241095,-0.268031,0.007579,-0.108132,1.129
3.718,-3.685538,8.811449,559.239208,-60.513516,-4.28692,-0.256318,0.007666,-0.108207,1.13
3.719,-3.59686,8.721963,559.411673,-60.542086,-4.259828,-0.284938,0.007615,-0.108225,1.131
3.72,-3.597744,8.722297,559.411984,-60.542147,-4.305886,-0.28508,0.007697,-0.108225,1.132
3.721,-3.686454,8.810006,559.413481,-60.546086,-4.310321,-0.280292,0.007705,-0.108231,1.133
3.722,-3.68662,8.899832,559.583763,-60.583156,-4.33294,-0.26844,0.007743,-0.108265,1.134
3.723,-3.509924,8.722073,559.585712,-60.575212,-4.324703,-0.268292,0.007728,-0.10825,1.135
3.724,-3.687065,8.810818,559.585133,-60.644487,-4.379273,-0.280504,0.007826,-0.108374,1.136
3.725,-3.686825,8.812314,559.75519,-60.611732,-4.401849,-0.256575,0.007864,-0.108283,1.137
3.726,-3.510572,8.722628,559.586647,-60.575178,-4.416837,-0.26853,0.007893,-0.10825,1.138
3.727,-3.599213,8.812371,559.5849,-60.645043,-4.420748,-0.239884,0.0079,-0.108375,1.139
3.728,-3.599826,8.723196,559.758813,-60.67342,-4.490107,-0.251939,0.008022,-0.108392,1.14
3.729,-3.599861,8.812927,559.585835,-60.645009,-4.512882,-0.240122,0.008065,-0.108375,1.141
3.73,-3.600304,8.901,559.415343,-60.616398,-4.536107,-0.252226,0.008109,-0.108357,1.142
3.731,-3.599559,8.990993,559.241919,-60.653556,-4.558825,-0.240425,0.008152,-0.108457,1.143
3.732,-3.511541,8.90272,559.071404,-60.617043,-4.577681,-0.211657,0.008188,-0.108425,1.144
3.733,-3.688578,8.990868,559.070958,-60.620687,-4.586249,-0.223711,0.008203,-0.108431,1.145
3.734,-3.511204,8.991057,558.900467,-60.654001,-4.600849,-0.223776,0.008232,-0.108524,1.146
3.735,-3.511073,8.990961,558.557206,-60.588521,-4.601005,-0.223811,0.008237,-0.108473,1.147
3.736,-3.599716,8.990717,558.55772,-60.588362,-4.605322,-0.207009,0.008245,-0.108473,1.148
3.737,-3.599307,8.992374,558.555234,-60.588562,-4.604872,-0.183089,0.008244,-0.108474,1.149
3.738,-3.598735,8.992919,558.210769,-60.654376,-4.604896,-0.183202,0.008249,-0.108659,1.15
3.739,-3.509961,8.993067,557.866994,-60.589055,-4.600735,-0.200039,0.008247,-0.108608,1.151
3.74,-3.598604,8.992823,557.867509,-60.588896,-4.605053,-0.183237,0.008255,-0.108608,1.152
3.741,-3.598671,9.080777,557.868491,-60.592995,-4.605171,-0.195252,0.008255,-0.108615,1.153
3.742,-3.598643,9.081279,557.525096,-60.593145,-4.651328,-0.195445,0.008343,-0.108682,1.154
3.743,-3.598041,8.993613,557.008933,-60.556425,-4.674416,-0.18357,0.008392,-0.108717,1.155
3.744,-3.598108,9.081566,557.009915,-60.560524,-4.674534,-0.195585,0.008392,-0.108724,1.156
3.745,-3.597601,9.081351,556.838129,-60.527753,-4.651583,-0.195531,0.008354,-0.108699,1.157
3.746,-3.597573,9.081853,556.494734,-60.527903,-4.69774,-0.195724,0.008442,-0.108766,1.158
3.747,-3.596897,9.0818,556.150404,-60.528087,-4.651763,-0.195679,0.008364,-0.108834,1.159
3.748,-3.508879,8.993528,555.979889,-60.491574,-4.670619,-0.166912,0.008401,-0.108802,1.16
3.749,-3.508918,9.081984,555.637477,-60.495822,-4.716894,-0.17912,0.008489,-0.108876,1.161
3.75,-3.596335,9.08259,555.291828,-60.495616,-4.721127,-0.196013,0.008502,-0.108944,1.162
3.751,-3.508411,9.081769,555.465691,-60.463052,-4.693943,-0.179066,0.00845,-0.108851,1.163
3.752,-3.50872,8.993934,555.293233,-60.426243,-4.716933,-0.16714,0.008494,-0.108819,1.164
3.753,-3.508383,9.082271,555.122296,-60.463202,-4.740101,-0.179259,0.008539,-0.108919,1.165
3.754,-3.684678,9.082412,554.776538,-60.462931,-4.702575,-0.179254,0.008477,-0.108986,1.166
3.755,-3.507675,9.083994,554.604005,-60.430876,-4.716781,-0.155383,0.008505,-0.108962,1.167
3.756,-3.507613,8.994766,554.433588,-60.459437,-4.740163,-0.167393,0.00855,-0.109047,1.168
3.757,-3.507613,8.994766,554.433588,-60.459437,-4.740163,-0.167393,0.00855,-0.109047,1.169
3.758,-3.507821,8.995047,554.089569,-60.459682,-4.740244,-0.16749,0.008555,-0.109115,1.17
3.759,-3.595237,8.995653,553.743921,-60.459476,-4.744477,-0.184383,0.008568,-0.109183,1.171
3.76,-3.506575,8.905551,553.403037,-60.455656,-4.694699,-0.179402,0.008483,-0.109243,1.172
3.761,-3.506713,8.995879,553.229924,-60.492876,-4.763475,-0.167743,0.00861,-0.109345,1.173
3.762,-3.507082,8.905766,553.574823,-60.488427,-4.71765,-0.179455,0.008522,-0.109269,1.174
3.763,-3.506547,8.906053,553.059642,-60.455806,-4.740856,-0.179595,0.008572,-0.109312,1.175
3.764,-3.506076,8.818482,552.886739,-60.484567,-4.763788,-0.167685,0.008616,-0.109398,1.176
3.765,-3.593926,8.906916,552.88471,-60.554035,-4.721906,-0.196461,0.00854,-0.109524,1.177
3.766,-3.594235,8.819082,552.712252,-60.517226,-4.744895,-0.184535,0.008585,-0.109491,1.178
3.767,-3.593838,8.64019,552.19901,-60.541672,-4.722633,-0.208406,0.008552,-0.109637,1.179
3.768,-3.504854,8.730045,552.196992,-60.546131,-4.717983,-0.213303,0.008544,-0.109646,1.18
3.769,-3.504999,8.641098,551.682556,-60.574936,-4.741447,-0.22541,0.008595,-0.1098,1.181
3.77,-3.593266,8.640734,551.854545,-60.607487,-4.722657,-0.20852,0.008558,-0.109825,1.182
3.771,-3.504116,8.640763,551.682245,-60.574875,-4.695389,-0.225268,0.008511,-0.1098,1.183
3.772,-3.50439,8.463199,551.682766,-60.566478,-4.695603,-0.225159,0.008511,-0.109785,1.184
3.773,-3.504194,8.463863,551.166827,-60.599582,-4.718734,-0.225361,0.008561,-0.109948,1.185
3.774,-3.591811,8.374518,550.993533,-60.627882,-4.654115,-0.253975,0.008447,-0.110034,1.186
3.775,-3.591314,8.375875,550.821583,-60.661078,-4.6769,-0.196515,0.008491,-0.110128,1.187
3.776,-3.591655,8.286264,550.823087,-60.656779,-4.677232,-0.208421,0.008491,-0.11012,1.188
3.777,-3.591653,8.109825,550.304588,-60.681445,-4.654317,-0.242062,0.008458,-0.110269,1.189
3.778,-3.591359,7.931244,550.307254,-60.673122,-4.608657,-0.208166,0.008375,-0.110253,1.19
3.779,-3.50238,8.019824,550.135803,-60.71024,-4.627508,-0.237088,0.008412,-0.110355,1.191
3.78,-3.501637,7.931817,549.79049,-60.706325,-4.581413,-0.225028,0.008333,-0.110417,1.192
3.781,-3.678649,7.842467,549.27476,-60.669046,-4.567326,-0.237017,0.008315,-0.110453,1.193
3.782,-3.5895,7.66541,549.274322,-60.726377,-4.563166,-0.253726,0.008308,-0.110557,1.194
3.783,-3.501004,7.665133,549.103721,-60.759627,-4.536007,-0.236893,0.008261,-0.110652,1.195
3.784,-3.50043,7.576965,548.930952,-60.722757,-4.512938,-0.224825,0.008221,-0.11062,1.196
3.785,-3.500194,7.489173,548.757425,-60.751613,-4.489794,-0.212819,0.008182,-0.110708,1.197
3.786,-3.411556,7.488142,548.587477,-60.784432,-4.508977,-0.253646,0.008219,-0.110802,1.198
3.787,-3.499389,7.311938,548.241696,-60.776259,-4.467082,-0.212769,0.008148,-0.110857,1.199
3.788,-3.587681,7.222646,548.412731,-60.804375,-4.44844,-0.241428,0.008111,-0.110873,1.2
3.789,-3.587042,7.135236,548.067285,-60.866091,-4.448346,-0.229527,0.008116,-0.111056,1.201
3.79,-3.498888,7.045349,547.898187,-60.895041,-4.421519,-0.224599,0.00807,-0.111143,1.202
3.791,-3.498443,6.868849,547.724331,-60.919368,-4.444599,-0.258239,0.008115,-0.111223,1.203
3.792,-3.497391,6.868677,547.551476,-60.952261,-4.375515,-0.258105,0.007991,-0.111318,1.204
3.793,-3.497187,6.779108,547.55191,-61.013627,-4.329714,-0.269931,0.007907,-0.11143,1.205
3.794,-3.497058,6.601926,547.380511,-61.038089,-4.352978,-0.269926,0.007952,-0.111509,1.206
3.795,-3.585465,6.51389,547.207498,-61.066785,-4.334152,-0.241118,0.00792,-0.111597,1.207
3.796,-3.584413,6.513718,547.034643,-61.099679,-4.265068,-0.240984,0.007797,-0.111693,1.208
3.797,-3.672611,6.336974,546.861301,-61.123846,-4.292466,-0.257822,0.007849,-0.111772,1.209
3.798,-3.583674,6.158637,546.863454,-61.115682,-4.242488,-0.240729,0.007758,-0.111757,1.21
3.799,-3.583337,6.158961,546.518366,-61.181592,-4.196437,-0.240746,0.007678,-0.111948,1.211
3.8,-3.582898,6.069613,546.519424,-61.242862,-4.196712,-0.252668,0.007679,-0.11206,1.212
3.801,-3.671226,6.070051,546.517482,-61.242567,-4.200845,-0.269509,0.007687,-0.11206,1.213
3.802,-3.671332,5.892648,546.345458,-61.267124,-4.178033,-0.269409,0.007647,-0.11214,1.214
3.803,-3.758983,5.893034,545.999186,-61.267013,-4.13619,-0.286206,0.007575,-0.112211,1.215
3.804,-3.758164,5.804841,546.341153,-61.328334,-4.089858,-0.274014,0.007486,-0.112253,1.216
3.805,-3.758337,5.715392,546.170112,-61.35699,-4.067164,-0.285928,0.007447,-0.11234,1.217
3.806,-3.66929,5.716019,545.997678,-61.390009,-4.085896,-0.302835,0.007483,-0.112436,1.218
3.807,-3.757898,5.626044,546.171171,-61.41826,-4.067439,-0.29785,0.007447,-0.112452,1.219
3.808,-3.669087,5.62645,545.998113,-61.451374,-4.040095,-0.31466,0.007399,-0.112549,1.22
3.809,-3.845042,5.539116,545.822712,-61.545345,-4.025345,-0.30271,0.007375,-0.112757,1.221
3.81,-3.84553,5.448984,545.654129,-61.574136,-4.002836,-0.28098,0.007336,-0.112845,1.222
3.811,-3.844303,5.449834,545.307966,-61.57409,-4.002751,-0.314675,0.00734,-0.112916,1.223
3.812,-3.933479,5.360877,545.479313,-61.602267,-4.030167,-0.343476,0.007388,-0.112932,1.224
3.813,-3.84454,5.272527,545.479204,-61.664127,-3.979783,-0.31454,0.007296,-0.113046,1.225
3.814,-3.84454,5.272527,545.479204,-61.664127,-3.979783,-0.31454,0.007296,-0.113046,1.226
3.815,-3.843998,5.182582,545.480396,-61.659767,-3.934057,-0.326303,0.007212,-0.113038,1.227
3.816,-3.932472,5.182499,545.308366,-61.692563,-3.915348,-0.309509,0.00718,-0.113133,1.228
3.817,-3.931377,5.183445,545.305465,-61.757996,-3.915107,-0.34317,0.00718,-0.113254,1.229
3.818,-4.019448,5.183745,544.961515,-61.823651,-3.919449,-0.32648,0.007192,-0.113446,1.23
3.819,-3.930703,5.006305,545.132996,-61.848123,-3.892238,-0.343085,0.00714,-0.113455,1.231
3.82,-4.019279,4.918108,545.132527,-61.843864,-3.896438,-0.314268,0.007148,-0.113447,1.232
3.821,-4.107465,4.918206,545.301436,-61.876374,-3.831388,-0.330925,0.007026,-0.113472,1.233
3.822,-4.018566,4.918312,544.958914,-61.942483,-3.827279,-0.314197,0.007023,-0.113665,1.234
3.823,-4.106517,4.91863,545.128447,-61.974898,-3.808305,-0.33095,0.006986,-0.113689,1.235
3.824,-4.105945,4.919175,544.783983,-62.040713,-3.808329,-0.331063,0.006991,-0.113881,1.236
3.825,-4.105843,4.741491,544.955978,-62.065024,-3.785436,-0.330865,0.006946,-0.11389,1.237
3.826,-4.105702,4.74115,545.126829,-62.097829,-3.716253,-0.330681,0.006817,-0.113914,1.238
3.827,-4.193941,4.741289,544.955424,-62.13053,-3.743621,-0.313983,0.00687,-0.11401,1.239
3.828,-4.104754,4.741575,544.95384,-62.196353,-3.69317,-0.330705,0.006777,-0.114131,1.24
3.829,-4.103842,4.741743,544.610134,-62.196442,-3.69327,-0.330756,0.006781,-0.114204,1.241
3.83,-4.104283,4.654004,544.780938,-62.225114,-3.716103,-0.318795,0.006821,-0.11422,1.242
3.831,-4.103738,4.654047,544.779869,-62.290778,-3.66997,-0.318715,0.006737,-0.114341,1.243
3.832,-4.103703,4.564316,544.952847,-62.319189,-3.647195,-0.330532,0.006693,-0.114357,1.244
3.833,-4.103876,4.474867,544.781807,-62.347845,-3.624501,-0.342446,0.006653,-0.114446,1.245
3.834,-4.01436,4.476349,544.780818,-62.413909,-3.619861,-0.3017,0.006645,-0.114567,1.246
3.835,-4.013877,4.477193,544.605817,-62.446728,-3.59665,-0.335353,0.006604,-0.114664,1.247
3.836,-4.102485,4.387219,544.77931,-62.47498,-3.578193,-0.330368,0.006568,-0.114679,1.248
3.837,-4.102041,4.299146,544.949802,-62.503591,-3.554968,-0.318264,0.006523,-0.114696,1.249
3.838,-4.013478,4.210916,544.778218,-62.532742,-3.527691,-0.289417,0.006475,-0.114786,1.25
3.839,-4.013478,4.210916,544.778218,-62.532742,-3.527691,-0.289417,0.006475,-0.114786,1.251
3.84,-4.013275,4.121347,544.778652,-62.594107,-3.48189,-0.301242,0.006391,-0.114898,1.252
3.841,-3.925455,4.121123,544.952381,-62.627173,-3.500708,-0.284454,0.006424,-0.114922,1.253
3.842,-3.923999,4.121334,544.607606,-62.692926,-3.454674,-0.284425,0.006343,-0.115116,1.254
3.843,-3.923932,4.03338,544.606623,-62.688827,-3.454556,-0.27241,0.006343,-0.115108,1.255
3.844,-3.924169,3.856072,544.777861,-62.778865,-3.431588,-0.272275,0.006299,-0.115238,1.256
3.845,-3.835438,3.856017,544.607884,-62.812019,-3.450505,-0.255538,0.006336,-0.115334,1.257
3.846,-3.834826,3.768105,544.605832,-62.873585,-3.404254,-0.243443,0.006251,-0.115448,1.258
3.847,-3.835101,3.590541,544.606353,-62.865187,-3.404468,-0.243334,0.006251,-0.115432,1.259
3.848,-3.746056,3.679594,544.778267,-62.902491,-3.376896,-0.214498,0.006199,-0.115464,1.26
3.849,-3.74555,3.502293,544.778342,-62.959662,-3.377053,-0.214405,0.006199,-0.115569,1.261
3.85,-3.745723,3.412844,544.607302,-62.988318,-3.354359,-0.226319,0.006159,-0.115658,1.262
