Time,,Gxp,Gyp,,Hxp,Hyp,,Kxp,Kyp,,Axp,Ayp,,Bxp,Byp,,Mxp,Myp,,Txp,Typ,Time
40.625,96.3772,496.753,1747.96,104.78,424.031,1613.71,99.3793,597.1,1148.33,99.3312,436.223,761.182,74.6984,388.044,720.935,131.012,550.2,700.674,75.9004,637.123,700.695,0.225
40.6333,95.7922,499.434,1753.42,104.9,427.75,1617.38,99.6057,595.156,1149.24,99.7429,436.148,761.192,74.9956,388.215,720.816,131.297,550.189,700.737,75.9704,636.772,701.008,0.2333
40.6417,95.3506,501.748,1758.65,104.92,431.625,1621.08,99.916,593.55,1150.07,99.9272,436.175,761.203,75.0808,388.11,720.929,131.346,550.424,700.691,75.9334,637.083,700.856,0.2417
40.65,94.8372,504.349,1763.54,104.764,435.639,1624.57,100.209,592.345,1150.69,99.9521,436.041,761.266,74.9992,388.096,720.97,131.18,550.177,700.79,75.8189,636.68,701.071,0.25
40.6583,94.6733,506.758,1768.31,104.452,439.581,1627.78,100.328,591.019,1151.25,99.862,435.735,761.375,74.907,387.948,721.002,131.218,550.218,700.711,75.7595,636.884,700.841,0.2583
40.6667,94.426,509.119,1772.92,104.263,443.807,1630.97,100.243,589.658,1151.71,99.8796,435.496,761.401,74.7647,387.86,720.917,131.159,549.983,700.702,75.7422,636.801,700.843,0.2667
40.675,94.4854,511.481,1777.39,104.044,447.907,1633.72,100.219,588.382,1152.21,99.8396,434.931,761.43,74.7375,387.584,720.835,131.092,549.793,700.691,75.7476,636.341,700.937,0.275
40.6833,94.6676,513.476,1781.67,103.898,452.092,1636.59,99.8611,586.796,1152.6,99.9841,434.542,761.361,74.8457,387.49,720.57,131.073,549.42,700.698,75.7246,635.834,701.169,0.2833
40.6917,94.7396,515.182,1785.71,103.639,456.483,1639.37,99.3998,585.248,1152.87,100.216,434.207,761.268,74.9763,387.36,720.387,131.149,549.459,700.553,75.7487,636.054,700.897,0.2917
40.7,94.8187,516.883,1789.62,103.489,460.649,1641.93,98.9007,583.93,1153.08,100.443,433.843,761.082,75.1721,387.314,720.021,131.353,549.357,700.544,75.888,635.909,701.031,0.3
40.7083,94.9983,518.655,1793.31,103.403,465.004,1644.53,98.2516,582.693,1153.23,100.671,433.788,760.816,75.4352,387.124,719.724,131.519,549.576,700.389,76.0568,636.201,700.807,0.3083
40.7167,94.9699,520.477,1796.68,103.211,469.156,1646.65,97.5471,581.508,1153.36,100.837,433.573,760.664,75.728,387.063,719.382,131.667,549.339,700.47,75.9905,635.744,701.104,0.3167
40.725,94.8892,522.355,1800.05,103.209,472.935,1648.8,96.92,580.486,1153.53,100.931,433.355,760.663,75.8469,386.952,719.243,131.608,549.425,700.474,76.2847,635.954,700.947,0.325
40.7333,94.7101,524.402,1802.96,103.317,477.137,1651.03,96.151,579.584,1153.68,100.959,433.217,760.654,75.776,386.912,719.249,131.541,549.305,700.49,76.0651,635.786,701.024,0.3333
40.7417,94.6014,526.593,1805.63,103.067,481.264,1653.09,95.1134,578.857,1153.99,100.801,433.074,760.932,75.7452,386.799,719.419,131.444,549.25,700.547,75.876,635.634,701.161,0.3417
40.75,94.3879,528.718,1808.01,102.702,485.431,1655.16,94.1505,578.43,1154.28,100.681,433.1,761.034,75.6433,386.891,719.34,131.442,549.175,700.674,75.8218,635.292,701.476,0.35
40.7583,94.1249,530.842,1810.26,102.567,489.529,1656.69,93.305,578.211,1154.5,100.532,433.083,761.118,75.4861,386.847,719.434,131.269,549.303,700.647,75.8133,635.98,700.984,0.3583
40.7667,94.1357,533.12,1812.53,102.239,492.97,1657.97,92.629,578.246,1154.6,100.354,433.128,761.203,75.4272,386.927,719.295,131.275,549.221,700.719,75.6004,635.606,701.304,0.3667
40.775,94.1743,535.272,1814.7,102.427,496.81,1659.3,92.0197,578.391,1154.51,100.311,433.203,761.06,75.3186,386.828,719.339,131.17,549.31,700.722,75.6383,635.91,701.12,0.375
40.7833,94.3206,537.113,1816.66,102.448,500.444,1660.43,91.4589,578.488,1154.38,100.14,433.16,760.962,75.339,386.781,719.156,131.114,549.118,700.802,75.6127,635.536,701.493,0.3833
40.7917,94.6542,539.007,1818.63,102.401,503.966,1661.33,90.9076,578.417,1154.23,100.155,432.997,760.953,75.2846,386.717,719.039,130.973,549.157,700.704,75.5448,635.692,701.192,0.3917
40.8,94.9764,540.692,1820.24,102.509,507.65,1662.2,90.3532,578.295,1154.21,100.2,432.989,760.781,75.2812,386.579,719.013,131.081,549.121,700.606,75.566,635.776,701.009,0.4
40.8083,95.4027,542.379,1821.77,102.456,511.042,1662.66,89.9746,578.133,1154.18,100.412,432.967,760.711,75.4098,386.387,719.005,131.111,548.953,700.508,75.6338,635.875,700.908,0.4083
40.8167,95.7452,544.004,1823.04,102.447,514.697,1663.09,89.4308,578.03,1154.07,100.466,432.94,760.403,75.5714,386.38,718.816,131.227,548.741,700.5,75.5171,635.158,701.219,0.4167
40.825,96.0947,545.537,1824.02,102.64,517.978,1663.4,88.9796,578.096,1153.8,100.462,433.009,760.294,75.6898,386.295,718.774,131.18,548.863,700.277,75.5339,635.492,700.963,0.425
40.8333,96.4302,547.09,1824.97,102.772,521.002,1663.33,88.4997,578.278,1153.52,100.636,432.981,760.23,75.7511,386.409,718.61,131.254,548.851,700.338,75.4832,635.145,701.091,0.4333
40.8417,96.6599,548.523,1825.61,103.083,524.034,1663.38,87.9876,578.507,1153.3,100.678,433.073,760.064,75.9275,386.325,718.62,131.351,549.193,700.213,75.5506,635.646,700.832,0.4417
40.85,96.8303,549.862,1826.12,103.277,527.02,1663.48,87.5901,578.812,1153.18,100.713,433.308,760.03,75.9483,386.38,718.505,131.342,549.131,700.271,75.3726,635.409,700.978,0.45
40.8583,97.0322,551.326,1826.55,103.294,529.735,1663.34,87.2721,579.129,1153.11,100.699,433.289,760.062,75.9514,386.372,718.504,131.078,549.211,700.214,75.5963,636.093,700.663,0.4583
40.8667,97.0606,552.648,1826.79,103.629,532.375,1663.4,86.944,579.649,1152.96,100.674,433.41,760.018,75.9618,386.371,718.508,131.076,549.224,700.244,75.6211,636.061,700.61,0.4667
40.875,97.238,554.09,1827.1,103.899,534.779,1663.26,86.7573,580.214,1152.72,100.701,433.362,760.1,75.9432,386.323,718.677,130.991,549.167,700.287,75.4144,635.864,700.733,0.475
40.8833,97.2656,555.285,1827.22,104.138,537.193,1663.31,86.4085,580.799,1152.57,100.672,433.456,760.158,75.8824,386.485,718.714,131.144,549.125,700.29,75.0318,635.246,700.927,0.4833
40.8917,97.4628,556.388,1827.24,104.456,539.604,1663.44,86.0706,581.393,1152.39,100.649,433.517,760.259,75.8994,386.378,718.861,130.869,549.245,700.133,75.3282,635.843,700.65,0.4917
40.9,97.6312,557.349,1827.34,104.749,541.916,1663.45,85.964,582.02,1152.22,100.608,433.532,760.365,75.8424,386.527,718.895,131.032,549.269,700.181,75.0751,635.67,700.675,0.5
40.9083,97.7903,558.217,1827.44,104.97,544.254,1663.74,85.6591,582.588,1152.11,100.48,433.752,760.435,75.8104,386.557,719.057,130.865,549.471,700.122,75.2365,636.214,700.428,0.5083
40.9167,97.9662,558.912,1827.51,105.166,546.576,1663.97,85.6204,583.232,1151.95,100.541,433.91,760.437,75.72,386.772,719.071,131.025,549.56,700.207,75.0419,636.065,700.501,0.5167
40.925,98.1116,559.648,1827.75,105.179,548.469,1663.96,85.6563,583.941,1151.79,100.441,434.061,760.531,75.706,386.887,719.219,130.969,549.786,700.095,75.0677,636.45,700.226,0.525
40.9333,98.275,560.35,1827.91,105.464,550.371,1664.1,85.7398,584.526,1151.67,100.51,434.221,760.669,75.6622,387.038,719.449,130.929,549.799,700.057,75.0681,636.566,700.204,0.5333
40.9417,98.2785,561.24,1828.3,105.661,552.283,1664.09,85.8557,585.001,1151.59,100.512,434.267,760.881,75.5263,387.056,719.794,130.961,550.008,699.978,74.9424,636.512,700.212,0.5417
40.95,98.4837,562.128,1828.52,105.967,554.285,1664.27,86.029,585.456,1151.63,100.667,434.49,761.072,75.4556,387.246,719.957,130.974,549.863,699.995,74.9603,636.316,700.307,0.55
40.9583,98.5792,563.164,1828.75,106.195,555.933,1664.37,86.1639,585.725,1151.8,100.6,434.591,761.162,75.49,387.273,720.208,130.948,550.095,699.9,74.9607,636.796,700.043,0.5583
40.9667,98.683,564.302,1829.16,106.436,557.554,1664.39,86.3018,585.796,1152.05,100.674,434.723,761.252,75.4524,387.483,720.311,130.959,550.067,699.976,74.9943,636.591,700.191,0.5667
40.975,98.8238,565.518,1829.46,106.634,559.433,1664.6,86.414,585.928,1152.22,100.659,434.913,761.339,75.4756,387.555,720.546,131.024,550.32,699.899,75.1687,637.137,699.975,0.575
40.9833,98.9568,566.679,1829.65,106.769,561.188,1664.79,86.5601,585.979,1152.32,100.712,434.965,761.387,75.4889,387.7,720.61,130.988,550.26,699.985,75.1382,636.686,700.225,0.5833
40.9917,98.9848,567.848,1829.92,106.839,562.737,1665.02,86.8228,585.916,1152.42,100.838,435.085,761.56,75.5544,387.822,720.807,130.994,550.5,699.883,75.2313,637.345,699.998,0.5917
41,99.0471,568.915,1830.08,106.874,564.51,1665.52,86.9652,585.876,1152.56,100.904,435.195,761.668,75.6677,387.849,721.023,130.948,550.56,699.844,75.3101,637.37,699.96,0.6
41.0083,99.0928,569.938,1830.36,106.981,566.07,1665.9,87.2418,585.782,1152.72,100.995,435.238,761.818,75.6959,387.853,721.294,131.002,550.514,699.917,75.3426,637.447,699.94,0.6083
41.0167,99.1483,570.852,1830.62,107.105,567.692,1666.32,87.4178,585.686,1152.9,101.065,435.293,761.904,75.5821,387.97,721.396,131.073,550.405,700.07,75.0382,636.924,700.237,0.6167
41.025,99.3182,571.807,1830.9,107.173,569.106,1666.58,87.5183,585.494,1153.11,101.076,435.275,762.067,75.5232,387.921,721.579,130.913,550.415,700.01,75.2034,637.397,699.909,0.625
41.0333,99.4402,572.775,1831.28,107.323,570.485,1666.75,87.713,585.268,1153.31,101.043,435.164,762.302,75.4285,388.032,721.729,131.035,550.431,700.039,75.2948,636.968,700.221,0.6333
41.0417,99.4711,573.594,1831.64,107.626,572.123,1667.04,87.8016,585.064,1153.57,101.028,435.293,762.427,75.2563,388.132,721.95,130.877,550.632,699.881,75.3729,637.549,699.876,0.6417
41.05,99.607,574.455,1831.88,107.696,573.577,1667.31,87.9404,584.852,1153.84,100.899,435.435,762.577,75.1534,388.269,721.98,130.975,550.647,700.004,75.2829,637.445,699.96,0.65
41.0583,99.6395,575.262,1832.17,107.663,574.877,1667.44,88.0409,584.676,1154.11,100.855,435.45,762.72,74.8586,388.431,722.073,130.803,550.775,699.962,75.4589,638.124,699.674,0.6583
41.0667,99.7522,575.972,1832.32,107.764,576.364,1667.71,88.0264,584.546,1154.4,100.629,435.618,762.732,74.6179,388.552,722.191,130.775,550.953,700.017,75.4324,638.153,699.731,0.6667
41.075,99.7252,576.659,1832.55,107.747,577.552,1667.9,88.0444,584.386,1154.58,100.507,435.598,762.879,74.2814,388.663,722.284,130.67,551.062,700.065,75.4007,638.339,699.658,0.675
41.0833,99.7623,577.257,1832.76,107.871,579.007,1668.14,88.0056,584.277,1154.73,100.338,435.711,762.905,73.9916,388.856,722.283,130.385,551.024,700.062,75.3457,637.955,699.862,0.6833
41.0917,100.068,577.735,1832.71,107.998,580.336,1668.29,87.9671,584.193,1154.81,100.395,435.83,763.028,73.7893,388.889,722.427,129.738,551.125,700.047,75.4466,638.428,699.5,0.6917
41.1,100.2,578.315,1832.85,107.953,581.354,1668.27,87.8801,584.123,1154.81,100.218,435.727,763.03,73.6589,389.015,722.365,129.931,551.099,700.059,75.5984,638.35,699.599,0.7
41.1083,100.445,578.927,1832.94,108.079,582.5,1668.42,87.7186,584.047,1154.84,100.324,435.82,762.959,73.6218,389.004,722.484,130.085,551.148,699.926,75.6268,638.812,699.25,0.7083
41.1167,100.691,579.547,1832.97,108.097,583.606,1668.39,87.6303,584.027,1154.83,100.366,435.868,762.899,73.7883,389.11,722.368,130.291,551.14,699.928,75.8505,638.662,699.395,0.7167
41.125,100.941,580.277,1833.12,108.051,584.568,1668.16,87.448,583.91,1154.81,100.497,435.753,762.887,73.8029,389.201,722.351,130.387,551.324,699.812,75.8033,639.009,699.15,0.725
41.1333,101.275,580.993,1833.11,108.282,585.691,1668.08,87.2659,583.797,1154.77,100.561,435.981,762.832,73.9164,389.265,722.325,130.394,551.436,699.74,75.8585,638.944,699.064,0.7333
41.1417,101.508,581.727,1833.19,108.369,586.597,1667.85,87.1623,583.624,1154.77,100.785,435.983,762.77,74.0303,389.217,722.407,130.386,551.514,699.657,75.8825,639.109,698.964,0.7417
41.15,101.779,582.454,1833.2,108.538,587.702,1667.77,87.0595,583.362,1154.81,100.897,436.237,762.585,74.0362,389.36,722.291,130.594,551.441,699.684,76.0014,638.799,699.107,0.75
41.1583,102.055,583.107,1833.14,108.561,588.596,1667.63,87.0072,583.009,1154.87,100.979,436.288,762.511,74.2079,389.267,722.358,130.633,551.608,699.505,75.9966,638.952,698.837,0.7583
41.1667,102.234,583.785,1833.19,108.367,589.183,1667.22,87.066,582.665,1154.93,101.021,436.129,762.542,74.1599,389.263,722.257,130.7,551.387,699.605,75.9896,638.763,699.006,0.7667
41.175,102.4,584.406,1833.2,109.009,590.177,1667.28,87.3115,582.353,1154.99,100.987,436.019,762.461,74.0698,389.078,722.338,130.698,551.384,699.446,76.107,639.067,698.781,0.775
41.1833,102.5,584.853,1833.15,109.52,591.051,1667.11,87.5709,582.123,1154.95,100.91,435.698,762.49,73.9767,389.061,722.166,130.785,551.112,699.519,76.1529,638.456,698.982,0.7833
41.1917,102.548,585.331,1833.21,109.397,591.454,1666.98,87.9796,581.782,1154.91,100.891,435.384,762.547,73.8646,388.953,722.131,130.636,551.04,699.29,76.2182,638.643,698.696,0.7917
41.2,102.682,585.603,1833.12,108.876,591.881,1666.76,88.3497,581.426,1154.93,101,435.281,762.37,73.8201,388.89,722.054,130.716,550.973,699.19,76.245,638.543,698.655,0.8
41.2083,102.901,585.935,1833.22,108.929,592.316,1666.58,88.7188,581.069,1154.98,101.045,435.142,762.277,73.9482,388.826,722.002,130.905,550.859,699.107,76.4386,638.584,698.577,0.8083
41.2167,102.994,586.172,1833.27,109.084,592.826,1666.61,89.0138,580.766,1154.98,101.317,435.146,762.216,74.062,388.907,721.843,131.177,550.755,699.095,76.6308,638.316,698.739,0.8167
41.225,102.965,586.261,1833.29,109.315,593.407,1666.47,89.3486,580.567,1154.95,101.449,435.171,762.142,74.3069,388.829,721.787,131.372,551,698.853,76.7415,638.769,698.396,0.825
41.2333,103.098,586.456,1833.4,109.531,593.922,1666.28,89.7233,580.355,1154.88,101.891,435.161,762.15,74.4622,388.914,721.64,131.515,550.939,698.815,76.8243,638.417,698.588,0.8333
41.2417,103.157,586.597,1833.44,109.385,594.361,1666.35,90.0819,580.312,1154.8,101.902,435.105,761.984,74.5903,388.771,721.723,131.568,551.107,698.609,76.9712,638.804,698.249,0.8417
41.25,103.107,586.687,1833.38,109.259,594.841,1666.31,90.3903,580.292,1154.76,102.078,435.038,761.969,74.7506,388.777,721.659,131.741,550.906,698.601,76.9385,638.262,698.45,0.85
41.2583,103.23,586.893,1833.46,109.373,595.154,1666.23,90.7457,580.264,1154.76,102.233,434.904,762.094,74.9146,388.714,721.778,131.755,550.838,698.477,76.9102,638.491,698.287,0.8583
41.2667,103.107,586.966,1833.42,109.361,595.505,1666.33,91.0505,580.385,1154.77,102.375,434.865,762.158,75.0106,388.739,721.9,131.928,550.802,698.358,77.1363,638.625,698.127,0.8667
41.275,103.203,587.111,1833.53,109.501,595.763,1666.21,91.349,580.587,1154.87,102.426,434.885,762.376,74.9925,388.736,722.1,132.012,550.782,698.391,77.2403,638.583,698.179,0.875
41.2833,103.183,587.192,1833.54,109.662,596.033,1666.4,91.5282,580.96,1154.96,102.312,434.944,762.557,74.8068,388.911,722.265,132.116,550.745,698.396,77.2738,638.131,698.423,0.8833
41.2917,102.933,587.046,1833.52,109.715,596.187,1666.52,91.8306,581.496,1155.1,102.192,435.181,762.754,74.6355,389.026,722.565,131.916,550.852,698.253,77.553,638.831,698.081,0.8917
41.3,102.941,587.101,1833.75,109.925,596.237,1666.62,92.2117,582.073,1155.24,101.986,435.298,763.045,74.3455,389.214,722.799,131.918,550.85,698.357,77.2685,638.468,698.382,0.9
41.3083,102.814,586.956,1833.87,110.039,596.219,1666.94,92.3631,582.734,1155.45,101.759,435.5,763.339,73.941,389.372,723.207,131.702,550.957,698.305,77.3814,639.061,698.032,0.9083
41.3167,102.562,586.704,1834.1,110.246,596.135,1667.24,92.5912,583.627,1155.63,101.43,435.699,763.723,73.5556,389.641,723.565,131.692,550.896,698.406,77.5782,638.721,698.358,0.9167
41.325,102.499,586.534,1834.48,110.406,595.969,1667.49,92.91,584.746,1155.83,101.182,435.731,764.294,73.1646,389.865,724.157,131.653,551.056,698.408,77.4108,639.061,698.118,0.925
41.3333,102.293,586.211,1834.74,110.622,595.846,1667.91,93.0976,586.199,1155.99,100.865,435.954,764.909,72.8224,390.038,724.832,131.49,551.021,698.423,77.5732,639.215,698.062,0.9333
41.3417,102.256,585.923,1835.16,110.978,595.782,1668.19,93.5061,587.964,1156.11,100.802,436.042,765.655,72.5723,390.133,725.68,131.381,551.148,698.461,77.5268,639.18,698.172,0.9417
41.35,102.096,585.454,1835.55,110.669,594.982,1668.83,93.7876,590.043,1156.27,100.726,436.319,766.419,72.4919,390.423,726.55,131.113,550.733,698.523,77.423,638.916,698.346,0.95
41.3583,101.859,584.994,1835.81,110.784,594.555,1669.21,94.081,592.385,1156.45,100.747,436.741,767.365,72.4382,390.719,727.659,131.004,551.007,698.448,77.3749,639.31,698.236,0.9583
41.3667,101.889,584.498,1836.22,110.93,594.091,1669.52,94.4887,595.059,1156.62,100.872,437.198,768.398,72.3926,391.187,728.767,130.896,550.942,698.631,77.3277,639.085,698.418,0.9667
41.375,101.801,584.012,1836.52,111.139,593.867,1669.93,94.9587,597.961,1156.75,101.093,437.905,769.508,72.5603,391.507,730.219,130.806,551.28,698.697,77.3544,639.461,698.307,0.975
41.3833,101.288,583.126,1836.71,110.975,593.118,1670.36,95.7445,601.336,1157.08,101.139,438.584,770.775,72.7063,392.091,731.738,130.679,551.396,698.892,77.1675,639.238,698.577,0.9833
41.3917,101.13,582.414,1836.96,111,592.286,1670.76,96.5209,604.661,1157.44,101.524,439.335,772.277,72.9192,392.563,733.531,130.635,551.801,699.042,77.2047,639.591,698.584,0.9917
41.4,100.747,581.458,1837.03,110.927,591.291,1671.35,97.4808,608.516,1157.84,101.718,440.288,773.964,73.1003,393.132,735.55,130.37,551.976,699.298,77.0781,639.761,698.59,1
