,CoPx,CoPy,Fx,Fy,Fz,Mx,My,Mz,TIME
18,0.012114,-0.092992,6.374187,-11.492986,375.012591,-34.873339,-4.54302,3.412242,0.15
19,0.01414449,-0.09346244,12.45316249,-8.54954861,364.7520201,-34.09056693,-5.15906771,3.13313427,0.15833
20,0.01610722,-0.09316551,12.00001845,-7.69426543,359.41431,-33.48511934,-5.78916292,2.73674302,0.16667
21,0.016742,-0.09348,13.980177,-4.22296,361.126443,-33.757923,-6.045943,1.559169,0.175
22,0.01638333,-0.09430964,8.30887457,-5.70862348,372.2920231,-35.11067104,-6.09943253,1.33640721,0.18333
23,0.01544642,-0.0956424,4.82010987,-3.39765311,391.1562507,-37.41137628,-6.0417326,0.82803206,0.19167
24,0.013949,-0.097551,-1.804933,-4.310331,416.616218,-40.641434,-5.811316,0.661138,0.2
25,0.01243697,-0.09949191,-5.23794954,-2.33574875,446.8274449,-44.45602711,-5.55687848,-0.66034237,0.20833
26,0.01090421,-0.1011682,-10.30464697,-3.0277554,480.1109012,-48.57218447,-5.23513299,-1.69072371,0.21667
27,0.00975,-0.102861,-12.732107,-1.323235,513.654054,-52.835212,-5.008368,-2.846179,0.225
28,0.008749,-0.10418147,-15.39972232,-0.792097,544.2439085,-56.70016355,-4.76158488,-2.69913156,0.23333
29,0.00778786,-0.10510156,-15.58405719,1.22141843,569.4467005,-59.8497122,-4.43474154,-2.50172421,0.24167
30,0.006798,-0.105692,-15.502655,2.405471,588.158273,-62.163388,-3.998343,-1.959582,0.25
31,0.00608051,-0.10636795,-13.64556435,4.49946053,600.2368907,-63.84588517,-3.64978522,-2.2367559,0.25833
32,0.0055897,-0.106903,-12.25966477,4.94059094,607.4609097,-64.93954284,-3.39573418,-2.29077446,0.26667
33,0.005398,-0.107318,-10.634344,5.943771,610.153686,-65.480605,-3.293611,-2.5347,0.275
34,0.00520758,-0.10773948,-9.74470959,6.42038801,606.6166779,-65.35658208,-3.1587744,-2.06459414,0.28333
35,0.00497708,-0.1080252,-9.17495619,7.37117369,598.5956926,-64.66338909,-2.97914127,-1.87938596,0.29167
36,0.004882,-0.108381,-9.813759,7.906691,587.312579,-63.65371,-2.867543,-1.7538,0.3
