,CoPx,CoPy,Fx,Fy,Fz,Mx,My,Mz,TIME
0,-0.014153,0.057798,-2.976707,7.854255,546.619671,31.593591,7.73656,0.239426,0
1,-0.0147956,0.0574368,-3.1528268,7.6397372,546.9229494,31.4135746,8.091989,0.2355614,0.0084
2,-0.0153467,0.056924,-3.0378164,7.5572814,548.5180035,31.2240415,8.4180445,0.2141098,0.0167
3,-0.015686,0.056531,-2.976988,7.40497,550.559533,31.123546,8.635879,0.196828,0.025
4,-0.0159412,0.0565492,-3.1563814,7.7378328,553.3790882,31.2929772,8.8216484,0.229033,0.0334
5,-0.0160741,0.0566145,-3.4833042,8.3492684,554.6292331,31.3999319,8.9153739,0.2450407,0.0417
6,-0.016382,0.056916,-3.774074,8.641563,554.504601,31.56046,9.083772,0.272659,0.05
7,-0.0164744,0.0572364,-3.9509844,9.1190176,554.2294152,31.7219764,9.1306156,0.2557556,0.0584
8,-0.0166649,0.0572942,-4.1262618,9.2890106,553.3493071,31.7037548,9.2214848,0.3144222,0.0667
9,-0.016759,0.057303,-4.21296,8.820669,551.749383,31.61696,9.246522,0.346738,0.075
10,-0.0171934,0.0569318,-4.1223482,8.2001696,550.304914,31.32984,9.4618034,0.409587,0.0834
11,-0.0178298,0.0564346,-4.1193996,7.3412616,548.9914986,30.9821835,9.7882847,0.4307405,0.0917
12,-0.018592,0.055815,-4.293848,6.516599,547.778634,30.574483,10.184419,0.389635,0.1
13,-0.0192212,0.0553262,-4.5069578,5.9811562,548.7023142,30.357578,10.546885,0.3602012,0.1084
14,-0.0199142,0.0548407,-4.7988341,6.2452099,549.9988571,30.1622343,10.9529341,0.3272978,0.1167
15,-0.020261,0.054422,-5.091047,6.688178,550.850158,29.978099,11.160966,0.293704,0.125
16,-0.020825,0.0542334,-5.3557066,6.9537654,550.8399888,29.874118,11.471262,0.2317332,0.1334
17,-0.0212626,0.0541053,-5.5323443,7.2808485,550.7132113,29.7965192,11.7095336,0.1779999,0.1417
18,-0.021687,0.053879,-5.797094,7.397229,550.308839,29.649995,11.934566,0.169769,0.15
19,-0.0220392,0.0533852,-5.9733392,7.1314684,549.4787554,29.334175,12.1099812,0.1579582,0.1584
20,-0.0224366,0.0527458,-6.1499401,6.6266727,549.317373,28.9740688,12.3247888,0.1620545,0.1667
21,-0.02273,0.052212,-6.238315,6.245645,549.432357,28.686978,12.488634,0.142078,0.175
22,-0.0230248,0.051476,-6.3797488,5.7320278,550.1139052,28.3177938,12.6663026,0.1613954,0.1834
23,-0.0232027,0.0509155,-6.39054,5.3849113,551.5385319,28.0819483,12.7972587,0.1519838,0.1917
24,-0.023297,0.050458,-6.418708,5.62326,553.545366,27.930597,12.895932,0.098148,0.2
25,-0.0235072,0.0502068,-6.5443284,6.0997076,555.2279728,27.876049,13.0519592,0.09187,0.2084
26,-0.0236872,0.0501789,-6.5713503,6.56918,555.550489,27.8770142,13.1595243,0.0376326,0.2167
27,-0.023704,0.05027,-6.509646,7.038646,555.601649,27.930246,13.169735,-1.20E-05,0.225
28,-0.0237954,0.050341,-6.3325862,7.5188176,555.3933768,27.9592108,13.2158444,0.0165096,0.2334
29,-0.0238941,0.0502183,-6.2419843,7.6006353,554.0497546,27.8232658,13.2385357,0.0029195,0.2417
30,-0.024035,0.050152,-6.15217,7.487306,552.501347,27.709252,13.279402,0.035037,0.25
31,-0.0242512,0.049649,-6.0974536,7.0971236,551.056548,27.3594212,13.363903,-0.003852,0.2584
32,-0.0244078,0.0489707,-6.0593775,6.4790785,549.5570217,26.9120258,13.4134264,-0.0058867,0.2667
33,-0.024655,0.048076,-6.056753,5.718927,548.022431,26.346617,13.51176,-0.005868,0.275
34,-0.0247052,0.0473748,-6.1094,4.974931,548.2939846,25.975281,13.5456974,-0.0338402,0.2834
35,-0.0246636,0.046606,-5.9951749,4.5681658,548.8759105,25.581027,13.5374469,-0.0628034,0.2917
36,-0.024564,0.045857,-6.057711,4.480207,550.075683,25.225067,13.511927,-0.096618,0.3
37,-0.0245948,0.0452962,-5.9161356,4.2677712,550.5902314,24.9396382,13.5418476,-0.1079848,0.3084
38,-0.0244587,0.0447092,-5.7919669,4.3048865,551.3960862,24.652542,13.4862543,-0.1134298,0.3167
39,-0.024296,0.044119,-5.792762,4.216887,551.962836,24.351834,13.410373,-0.125606,0.325
40,-0.0239758,0.043733,-5.4737382,4.2197904,552.307653,24.154238,13.2420002,-0.0953602,0.3334
41,-0.023533,0.043316,-5.438799,4.310601,552.996972,23.953374,13.013901,-0.05705,0.3417
42,-0.023257,0.043031,-5.348828,4.312823,552.827634,23.788874,12.857154,0.016885,0.35
43,-0.0230686,0.0426812,-5.2237848,4.3150966,552.4172616,23.5780386,12.7435194,0.097545,0.3584
44,-0.0227015,0.0422227,-5.0810856,4.2560844,552.0236171,23.3080273,12.5316796,0.139323,0.3667
45,-0.022511,0.041833,-4.991971,4.230999,551.457783,23.06923,12.413722,0.152027,0.375
