Time,M024,,,M025,,,M026,,,M027,,,M028,,,M029,,,M030,,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,
7.24163,242.282,1161.46,1124.85,246.818,1168.11,952.958,257.508,1145.5,448.48,284.526,1043.39,45.7039,253.136,1006.92,2.46567,342.345,1150.43,-16.1171,303.479,1246.92,-14.199,7.24163
7.25003,242.955,1162.35,1124.25,247.907,1168.85,952.114,257.596,1146.58,448.275,284.819,1043.49,45.7438,253.273,1006.89,2.42674,342.132,1150.56,-16.3577,303.325,1247.2,-14.4719,7.25003
7.25833,243.605,1163.29,1123.75,248.968,1169.95,951.584,257.911,1148.15,447.832,285.651,1043.9,45.9692,253.344,1006.96,2.37894,342.182,1150.63,-16.2709,303.227,1247.35,-14.5914,7.25833
7.26663,244.126,1164.32,1123.35,250.029,1171.07,951.264,257.95,1149.21,447.64,285.137,1044.06,45.6818,253.396,1006.81,2.56401,342.379,1150.69,-16.1806,303.131,1247.36,-14.4995,7.26663
7.27503,244.676,1165.33,1123.12,250.788,1172.32,951.25,258.181,1150.52,447.319,284.688,1044.21,45.4341,253.337,1006.99,2.55251,342.522,1150.56,-15.9775,303.347,1247.19,-14.3118,7.27503
7.28333,245.153,1166.25,1123.01,251.457,1173.78,951.348,258.262,1151.52,447.006,284.232,1044.27,45.5071,253.353,1006.87,2.68137,342.386,1150.75,-16.128,303.166,1247.34,-14.5794,7.28333
7.29163,245.657,1167.24,1123.12,251.94,1175.17,951.541,258.311,1152.24,446.851,284.69,1044.22,45.8985,253.191,1007.06,2.72429,342.313,1150.67,-16.0708,303.332,1247.31,-14.331,7.29163
7.30003,246.14,1168.13,1123.42,252.502,1176.93,951.947,258.817,1153.46,446.465,284.241,1044.3,45.8226,253.154,1006.94,2.86949,342.102,1150.84,-16.2476,303.344,1247.66,-14.5959,7.30003
7.30833,246.598,1169.01,1123.78,252.88,1178.24,952.648,259.302,1154.51,446.096,283.971,1044.4,45.8071,253.59,1007.16,3.12322,342.261,1150.68,-16.0204,303.346,1247.44,-14.3892,7.30833
7.31663,247.073,1169.93,1124.12,253.41,1179.55,953.263,259.597,1155.08,445.902,284.366,1044.15,45.9638,252.92,1007.15,2.99084,342.015,1150.76,-16.1712,303.172,1247.56,-14.6227,7.31663
7.32503,247.513,1170.77,1124.51,254.133,1180.83,953.632,260.078,1155.65,445.614,284.322,1044.53,46.0679,252.751,1007.23,3.13717,342.067,1150.75,-16.1629,303.171,1247.59,-14.5864,7.32503
7.33333,247.967,1171.61,1124.99,254.826,1182.17,954.046,260.295,1155.67,445.638,284.728,1044.65,46.4552,252.775,1007.2,3.32069,342.01,1150.75,-16.163,303.442,1247.5,-14.4325,7.33333
7.34163,248.426,1172.49,1125.52,255.303,1183.64,954.282,260.933,1156.3,445.509,285.232,1044.8,46.7077,252.7,1007.29,3.40581,342.169,1150.65,-16.003,303.387,1247.5,-14.4106,7.34163
7.35003,248.811,1173.38,1126.01,255.81,1185.07,954.507,261.498,1156.84,445.497,285.141,1044.96,46.8253,252.528,1007.07,3.5252,342.016,1150.84,-16.2168,303.256,1247.76,-14.6765,7.35003
7.35833,249.23,1174.45,1126.42,256.454,1186.31,954.671,261.773,1157.05,445.656,285.071,1044.98,46.8752,252.664,1007.39,3.83276,342.227,1150.7,-15.9892,303.436,1247.65,-14.5071,7.35833
7.36663,249.668,1175.59,1126.71,257.13,1187.68,954.76,262.325,1157.62,445.595,285.122,1045.09,46.956,252.622,1007.43,4.06092,342.14,1150.86,-16.1875,303.255,1247.86,-14.7372,7.36663
7.37503,250,1176.66,1126.95,257.792,1188.82,954.795,262.84,1158.05,445.682,285.07,1045.23,47.0079,252.61,1007.57,4.20988,342.214,1150.66,-15.9946,303.422,1247.58,-14.4649,7.37503
7.38333,250.361,1177.84,1127.12,258.479,1189.89,954.809,263.034,1158.18,445.863,285.147,1045.21,47.1886,252.517,1007.68,4.46099,342.041,1150.85,-16.2395,303.37,1247.7,-14.6318,7.38333
7.39163,250.712,1178.86,1127.17,259.233,1191.12,954.72,263.478,1158.65,445.838,285.045,1045.27,47.2647,252.512,1007.62,4.57001,341.9,1150.84,-16.3687,303.328,1247.78,-14.7259,7.39163
7.40003,251.116,1179.97,1127.19,259.921,1192.32,954.763,263.66,1158.8,445.959,285.154,1045.28,47.4048,252.475,1007.74,4.65131,341.997,1150.9,-16.2884,303.394,1247.84,-14.699,7.40003
7.40833,251.526,1180.92,1127.21,260.641,1193.73,954.75,264.112,1159.26,445.872,285.222,1045.3,47.4196,252.477,1007.77,4.81987,342.306,1150.7,-15.9767,303.364,1247.66,-14.5411,7.40833
7.41663,252.015,1181.82,1127.2,261.256,1195,954.795,264.455,1159.55,445.85,285.081,1045.33,47.388,252.426,1007.69,4.90552,342.111,1150.84,-16.1908,303.343,1247.82,-14.7387,7.41663
7.42503,252.615,1182.74,1127.15,261.895,1196.22,954.742,264.368,1159.42,445.834,285.592,1045.36,47.6877,252.451,1007.77,4.91208,342.248,1150.72,-16.0004,303.55,1247.73,-14.44,7.42503
7.43333,253.193,1183.62,1127.14,262.636,1197.56,954.427,264.916,1160.11,445.686,285.347,1045.36,47.4291,252.48,1007.68,4.93818,342,1150.87,-16.2442,303.31,1247.81,-14.7232,7.43333
7.44163,253.794,1184.48,1127.07,263.435,1198.92,954.045,265.27,1160.66,445.506,285.258,1045.39,47.3478,252.463,1007.71,4.91393,342.144,1150.75,-16.0944,303.467,1247.72,-14.6057,7.44163
7.45003,254.35,1185.38,1126.96,264.157,1200.11,953.71,265.342,1161.04,445.382,285.792,1045.4,47.4909,253.223,1007.72,5.11301,341.889,1150.93,-16.3497,303.204,1247.84,-14.8433,7.45003
7.45833,254.96,1186.3,1126.82,264.735,1201.67,953.448,265.78,1161.89,444.988,285.286,1045.34,47.1123,252.72,1007.62,4.84067,342.067,1150.92,-16.2401,303.19,1247.84,-14.9354,7.45833
7.46663,255.598,1187.31,1126.65,265.526,1203,953.085,265.818,1162.21,444.788,285.862,1045.47,47.33,252.748,1007.52,4.87602,342.107,1150.93,-16.2328,303.213,1247.89,-14.8616,7.46663
7.47503,256.216,1188.28,1126.51,266.254,1204.61,952.786,266.229,1163.03,444.392,285.676,1045.62,47.0604,252.878,1007.59,4.77475,342.202,1150.8,-16.1046,303.492,1247.6,-14.5058,7.47503
7.48333,256.872,1189.25,1126.4,266.792,1206.07,952.511,266.413,1163.52,444.217,285.624,1045.56,47.0549,252.966,1007.48,4.83519,342.197,1150.97,-16.2534,303.303,1247.92,-14.8023,7.48333
7.49163,257.528,1190.27,1126.3,267.286,1207.52,952.299,266.285,1163.77,444.195,286.14,1045.58,47.3582,252.844,1007.33,4.72742,342.303,1150.9,-16.1052,303.299,1247.8,-14.6317,7.49163
7.50003,258.216,1191.29,1126.24,267.874,1209.08,952.108,266.794,1164.46,443.947,285.917,1045.65,47.1982,253.071,1007.47,4.99529,342.12,1151.07,-16.3283,303.157,1247.99,-14.9323,7.50003
7.50833,258.931,1192.33,1126.16,268.35,1210.43,951.97,267.107,1164.94,443.899,285.715,1045.74,47.1213,252.996,1007.52,5.07003,342.249,1150.93,-16.1402,303.171,1247.83,-14.8203,7.50833
7.51663,259.558,1193.39,1126.1,268.971,1211.71,951.859,267.193,1165.17,443.992,286.187,1045.78,47.4227,253.026,1007.6,5.12177,342.11,1151.04,-16.2744,303.099,1247.99,-14.9411,7.51663
7.52503,260.23,1194.39,1126.04,269.513,1213.11,951.81,267.544,1165.78,443.908,286.289,1045.89,47.4675,252.954,1007.66,5.27239,342.019,1151.02,-16.3006,303.189,1247.99,-14.8758,7.52503
7.53333,260.848,1195.43,1125.98,270.023,1214.37,951.794,267.62,1166,444.009,286.258,1045.9,47.5642,253.035,1007.56,5.42247,342.054,1151.02,-16.2982,303.141,1247.93,-14.8829,7.53333
7.54163,261.497,1196.44,1125.94,270.582,1215.8,951.88,268.083,1166.58,443.895,285.9,1045.99,47.4256,253.035,1007.76,5.37384,342.276,1150.99,-16.0838,303.298,1247.72,-14.642,7.54163
7.55003,262.144,1197.25,1126.06,271.159,1217.16,951.979,268.373,1166.98,443.874,285.687,1046.05,47.4114,253.032,1007.61,5.66316,341.972,1151.1,-16.329,303.061,1248.01,-14.8903,7.55003
7.55833,262.723,1198.18,1126.22,271.538,1218.13,952.155,268.492,1167.14,443.964,286.486,1046.07,47.8227,253.066,1007.69,5.71197,342.197,1150.99,-16.1069,303.248,1247.88,-14.7477,7.55833
7.56663,263.455,1199,1126.28,272.032,1219.17,952.218,268.902,1167.66,443.881,286.2,1046.15,47.6345,253.08,1007.69,5.87475,342.129,1151.09,-16.2404,303.102,1248.05,-14.9532,7.56663
7.57503,264.133,1199.79,1126.43,272.606,1220.15,952.24,269.117,1167.96,443.852,285.704,1046.16,47.5371,253.147,1007.77,5.94604,342.25,1151.05,-16.1056,303.266,1247.83,-14.7276,7.57503
7.58333,264.687,1200.55,1126.54,273.217,1221.02,952.238,269.273,1168.12,443.901,286.684,1046.16,48.1425,253.184,1007.76,6.10906,342.097,1151.23,-16.3383,303.193,1248.1,-14.9755,7.58333
7.59163,265.276,1201.21,1126.61,273.818,1221.9,952.216,269.582,1168.46,443.866,286.534,1046.25,48.1152,253.795,1007.87,6.50573,342.055,1151.2,-16.3513,303.14,1248.07,-15.0224,7.59163
7.60003,265.818,1201.85,1126.67,274.333,1222.51,952.18,269.736,1168.49,443.948,286.867,1046.29,48.446,253.188,1007.75,6.45733,341.989,1151.2,-16.3622,303.161,1248.04,-15.1156,7.60003
7.60833,266.364,1202.44,1126.72,275.19,1223.26,951.924,270.248,1168.84,443.885,286.534,1046.26,48.1956,253.103,1007.85,6.60592,342.405,1151.08,-16.075,303.223,1247.85,-14.8576,7.60833
7.61663,266.896,1202.98,1126.75,275.851,1223.84,951.789,270.625,1168.95,443.96,286.91,1046.45,48.1754,253.214,1007.82,6.79833,342.207,1151.19,-16.2999,303.289,1248,-14.9726,7.61663
7.62503,267.453,1203.53,1126.76,276.486,1224.39,951.759,270.768,1168.63,444.218,286.754,1046.22,48.6401,253.091,1007.98,6.97762,342.266,1151,-16.1484,303.309,1247.73,-14.8039,7.62503
7.63333,268.025,1204.01,1126.75,277.1,1225.03,951.668,271.172,1168.85,444.264,286.453,1046.3,48.6738,252.898,1007.74,7.03174,342.173,1151.14,-16.2871,303.234,1247.97,-15.0015,7.63333
7.64163,268.617,1204.49,1126.76,277.603,1225.52,951.64,271.653,1169.05,444.303,286.443,1046.37,48.7121,252.938,1008.09,7.28607,342.182,1151.04,-16.2184,303.38,1247.8,-14.8517,7.64163
7.65003,269.166,1205.01,1126.78,278.136,1225.96,951.669,271.912,1168.93,444.552,286.616,1046.18,49.0869,252.911,1008.21,7.44969,342.035,1151.15,-16.3683,303.298,1248.07,-15.1373,7.65003
7.65833,269.703,1205.45,1126.8,278.726,1226.5,951.696,272.224,1169.29,444.484,286.49,1046.5,48.9138,252.769,1008.21,7.64596,342.014,1151.11,-16.3332,303.229,1248.11,-15.1709,7.65833
7.66663,270.226,1205.98,1126.83,279.207,1226.82,951.813,272.212,1169.22,444.664,286.487,1046.5,49.1343,252.597,1008.24,7.91931,341.966,1151.06,-16.3094,303.308,1248.12,-15.155,7.66663
7.67503,270.712,1206.44,1126.87,279.706,1227.27,951.894,272.528,1169.59,444.653,286.324,1046.62,49.1193,252.4,1008.36,7.94762,342.25,1151.02,-15.9599,303.385,1247.8,-14.9163,7.67503
7.68333,271.164,1206.81,1126.86,280.188,1227.68,952.029,272.717,1169.83,444.725,285.917,1046.56,49.0962,252.349,1008.46,8.10748,341.878,1151.07,-16.2996,303.392,1248.04,-15.0967,7.68333
7.69163,271.606,1207.18,1126.9,280.638,1227.98,952.145,272.723,1169.85,444.923,286.341,1046.55,49.5195,252.186,1008.46,8.23301,341.893,1150.93,-16.1319,303.354,1247.94,-14.9897,7.69163
7.70003,272.062,1207.48,1126.92,281.102,1228.39,952.273,273.04,1170.31,444.884,285.826,1046.62,49.4009,252.122,1008.47,8.46732,341.643,1151.03,-16.327,303.363,1248.24,-15.209,7.70003
7.70833,272.565,1207.7,1126.91,281.615,1228.7,952.393,273.284,1170.61,444.929,286.025,1046.72,49.6784,252.013,1008.57,8.55678,341.796,1150.87,-16.0663,303.38,1248.01,-15.0239,7.70833
7.71663,273.027,1207.93,1126.9,282.007,1228.87,952.466,273.206,1170.51,445.134,286.221,1046.69,49.8298,251.91,1008.63,8.70764,341.572,1150.95,-16.2226,303.342,1248.15,-15.1567,7.71663
7.72503,273.455,1208.11,1126.88,282.421,1229.26,952.577,273.423,1170.84,445.124,286.003,1046.83,49.7954,251.816,1008.73,8.87072,341.642,1150.95,-16.1886,303.404,1248.2,-15.1821,7.72503
7.73333,273.913,1208.33,1126.85,282.848,1229.55,952.769,273.399,1170.86,445.34,286.031,1046.8,50.1777,252.395,1008.83,9.35298,341.475,1150.97,-16.2591,303.342,1248.13,-15.1502,7.73333
7.74163,274.322,1208.52,1126.83,283.317,1229.95,952.84,273.746,1171.29,445.32,285.988,1047.04,50.2589,251.671,1008.8,9.21148,341.748,1150.86,-16.0359,303.429,1247.89,-15.0383,7.74163
7.75003,274.757,1208.7,1126.81,283.727,1230.19,952.858,273.868,1171.56,445.36,285.898,1047.07,50.291,251.488,1008.85,9.50235,341.335,1150.99,-16.2504,303.372,1248.26,-15.2281,7.75003
7.75833,275.172,1208.96,1126.76,284.141,1230.4,952.903,273.832,1171.51,445.569,285.856,1047.14,50.4154,251.423,1008.95,9.54705,341.258,1150.85,-16.1493,303.425,1247.95,-15.0076,7.75833
7.76663,275.536,1209.18,1126.76,284.548,1230.76,952.932,274.104,1171.94,445.548,285.333,1047.1,50.3874,251.395,1008.94,9.78553,341.334,1150.95,-16.1712,303.349,1248.32,-15.2807,7.76663
7.77503,275.931,1209.4,1126.78,284.927,1231.1,952.975,274.138,1172.07,445.68,285.15,1047.2,50.5514,251.101,1008.69,9.65643,341.511,1150.81,-15.96,303.376,1248.07,-15.0394,7.77503
7.78333,276.297,1209.69,1126.81,285.238,1231.36,953.015,274.121,1172.02,445.876,285.791,1047.19,50.9037,251.234,1009.17,10.113,341.209,1150.92,-16.1687,303.319,1248.28,-15.2626,7.78333
7.79163,276.621,1209.93,1126.85,285.57,1231.77,953.03,274.474,1172.42,445.875,285.802,1047.12,51.0635,251.282,1009.17,10.24,341.185,1151,-16.2168,303.323,1248.31,-15.2708,7.79163
7.80003,276.936,1210.23,1126.88,285.78,1232.11,953.134,274.495,1172.51,446.031,285.872,1047.32,51.1742,251.206,1009.16,10.4955,341.053,1151.01,-16.2981,303.324,1248.3,-15.264,7.80003
7.80833,277.26,1210.53,1126.91,286,1232.52,953.199,274.736,1172.91,446.012,285.328,1047.39,50.9915,251.139,1009.27,10.6303,341.421,1150.83,-15.9338,303.365,1248.12,-15.116,7.80833
7.81663,277.54,1210.76,1126.91,286.195,1232.89,953.276,274.829,1173.03,446.1,285.726,1047.5,51.2556,251.191,1009.22,10.789,341.176,1150.94,-16.132,303.355,1248.34,-15.2794,7.81663
7.82503,277.725,1211.09,1126.91,286.275,1233.13,953.402,274.738,1172.93,446.312,285.961,1047.51,51.5185,251.24,1009.42,10.8445,341.351,1150.86,-15.9804,303.43,1248.1,-15.1032,7.82503
7.83333,277.918,1211.33,1126.9,286.452,1233.57,953.425,274.953,1173.27,446.309,285.977,1047.54,51.6136,251.3,1009.28,11.098,341.148,1150.98,-16.1744,303.335,1248.29,-15.2256,7.83333
7.84163,278.126,1211.58,1126.88,286.633,1233.97,953.478,275.111,1173.56,446.325,285.521,1047.52,51.5064,251.306,1009.38,11.187,341.291,1150.9,-16.0364,303.416,1248.08,-15.1001,7.84163
7.85003,278.313,1211.87,1126.82,286.67,1234.23,953.572,274.966,1173.46,446.437,285.929,1047.56,51.7889,251.389,1009.36,11.3267,341.095,1151.08,-16.2792,303.341,1248.39,-15.2895,7.85003
7.85833,278.544,1212.12,1126.76,286.732,1234.59,953.64,275.293,1173.92,446.455,286.186,1047.63,51.7763,251.426,1009.38,11.4455,341.123,1151.03,-16.243,303.33,1248.36,-15.3288,7.85833
7.86663,278.652,1212.42,1126.71,286.815,1234.93,953.68,275.367,1174,446.551,286.058,1047.65,51.9404,251.481,1009.35,11.5864,341.158,1150.99,-16.1992,303.349,1248.36,-15.3352,7.86663
7.87503,278.765,1212.68,1126.64,286.846,1235.31,953.684,275.392,1174.17,446.551,286.222,1047.67,51.9386,252.028,1009.56,11.8856,341.418,1150.86,-15.9571,303.412,1248.05,-15.0699,7.87503
7.88333,278.892,1212.93,1126.57,286.896,1235.66,953.677,275.382,1174.28,446.582,286.213,1047.75,52.0098,251.519,1009.42,11.7366,341.169,1151.01,-16.1931,303.407,1248.18,-15.2507,7.88333
7.89163,278.994,1213.24,1126.48,287.038,1235.85,953.632,275.259,1174.18,446.686,286.048,1047.73,52.1164,251.016,1009.62,11.9991,341.283,1150.93,-16.0664,303.404,1248.09,-15.0945,7.89163
7.90003,279.114,1213.54,1126.39,287.138,1236.2,953.601,275.477,1174.56,446.545,286.051,1047.96,51.9296,251.511,1009.41,11.8801,341.168,1151.08,-16.2065,303.371,1248.29,-15.2629,7.90003
7.90833,279.18,1213.81,1126.28,287.175,1236.5,953.549,275.562,1174.79,446.47,285.903,1047.86,51.974,251.451,1009.47,11.8449,341.266,1150.89,-16.0407,303.386,1248.12,-15.1129,7.90833
7.91663,279.248,1214.12,1126.19,287.278,1236.76,953.486,275.291,1174.67,446.601,285.942,1047.79,52.2326,251.24,1009.21,11.6656,341.178,1150.99,-16.1553,303.323,1248.35,-15.277,7.91663
7.92503,279.317,1214.41,1126.11,287.299,1237.07,953.39,275.489,1174.93,446.445,285.805,1047.8,52.0246,251.358,1009.5,11.8557,341.141,1151,-16.1545,303.313,1248.31,-15.3058,7.92503
7.93333,279.35,1214.72,1126.01,287.373,1237.32,953.32,275.407,1174.84,446.498,285.846,1047.74,52.1831,251.397,1009.52,11.9368,341.112,1151.01,-16.1489,303.35,1248.23,-15.2408,7.93333
7.94163,279.395,1214.99,1125.91,287.384,1237.7,953.204,275.523,1175.2,446.358,285.737,1047.88,52.0356,251.262,1009.54,11.8857,341.207,1150.85,-15.981,303.413,1248.05,-15.0756,7.94163
7.95003,279.471,1215.21,1125.79,287.42,1238.01,953.115,275.543,1175.4,446.278,285.652,1047.91,52.0001,251.098,1009.53,12.0127,340.921,1150.98,-16.1952,303.365,1248.31,-15.2782,7.95003
7.95833,279.467,1215.45,1125.68,287.39,1238.27,953.035,275.312,1175.25,446.391,285.653,1047.86,52.1563,251.102,1009.57,11.881,341.132,1150.88,-15.9378,303.391,1248.17,-15.15,7.95833
7.96663,279.51,1215.66,1125.57,287.39,1238.63,952.93,275.44,1175.59,446.248,285.78,1047.89,52.1784,250.959,1009.64,11.9054,340.961,1150.94,-16.1307,303.337,1248.32,-15.3087,7.96663
7.97503,279.531,1215.8,1125.46,287.371,1238.96,952.837,275.446,1175.71,446.231,285.413,1047.93,52.0186,250.966,1009.63,11.9039,341.152,1150.84,-15.9494,303.466,1248.1,-15.0641,7.97503
7.98333,279.598,1216,1125.34,287.233,1239.14,952.843,275.17,1175.54,446.337,285.556,1047.84,52.3022,250.882,1009.63,11.9268,340.923,1150.99,-16.1295,303.398,1248.26,-15.206,7.98333
7.99163,279.603,1216.09,1125.23,287.204,1239.51,952.78,275.372,1175.89,446.201,285.306,1047.93,52.1526,250.821,1009.64,11.9636,340.816,1150.96,-16.1442,303.349,1248.29,-15.2311,7.99163
8.00003,279.621,1216.23,1125.14,287.128,1239.7,952.758,275.223,1175.83,446.321,285.641,1047.87,52.3037,250.795,1009.59,12.0871,340.75,1150.93,-16.1615,303.349,1248.31,-15.2873,8.00003
8.00833,279.604,1216.36,1125.08,287.094,1240.04,952.735,275.421,1176.14,446.27,285.197,1048.02,52.1904,250.754,1009.64,12.0876,341.085,1150.67,-15.8054,303.443,1248.15,-15.1296,8.00833
8.01663,279.591,1216.48,1125.04,286.989,1240.21,952.755,275.417,1176.26,446.299,285.045,1048.06,52.2056,251.399,1009.73,12.4762,340.85,1150.86,-16.04,303.386,1248.28,-15.2527,8.01663
8.02503,279.537,1216.64,1125.02,286.827,1240.3,952.851,275.153,1176.04,446.51,285.485,1048.06,52.5356,250.665,1009.71,12.1775,341.077,1150.78,-15.9049,303.478,1248.02,-15.1051,8.02503
8.03333,279.501,1216.8,1124.99,286.836,1240.57,952.848,275.294,1176.38,446.438,285.177,1048.1,52.3646,250.521,1009.69,12.3655,340.755,1150.92,-16.1175,303.447,1248.22,-15.1729,8.03333
8.04163,279.483,1216.87,1125,286.799,1240.73,952.934,275.318,1176.58,446.422,285.263,1048.21,52.3765,250.645,1009.75,12.284,340.659,1150.77,-16.0316,303.523,1247.92,-14.9724,8.04163
8.05003,279.444,1217.02,1124.96,286.615,1240.78,953.003,275.176,1176.54,446.538,285.535,1048.04,52.6516,250.632,1009.74,12.3354,340.753,1150.97,-16.0962,303.341,1248.34,-15.282,8.05003
8.05833,279.405,1217.06,1124.97,286.553,1240.98,953.036,275.337,1176.85,446.437,285.066,1048.19,52.5297,250.464,1009.35,12.1105,340.83,1150.97,-16.0692,303.317,1248.41,-15.2854,8.05833
8.06663,279.353,1217.17,1124.95,286.452,1241,953.063,275.13,1176.7,446.528,285.361,1048.13,52.6366,250.638,1009.71,12.4679,340.808,1150.86,-15.9973,303.336,1248.26,-15.2499,8.06663
8.07503,279.298,1217.2,1124.94,286.405,1241.16,953.088,275.22,1176.92,446.466,285.101,1048.18,52.4893,250.635,1009.91,12.3852,341.09,1150.73,-15.7584,303.3,1248.06,-15.0971,8.07503
8.08333,279.268,1217.16,1124.93,286.36,1241.29,953.091,275.142,1176.94,446.475,285.002,1048.21,52.4988,250.59,1009.74,12.5177,340.669,1150.88,-16.0761,303.396,1248.22,-15.1817,8.08333
8.09163,279.192,1217.15,1124.9,286.302,1241.37,953.09,274.945,1176.81,446.572,285.453,1048.13,52.8012,250.488,1009.83,12.5147,340.839,1150.78,-15.9078,303.452,1248.07,-15.0475,8.09163
8.10003,279.158,1217.1,1124.89,286.175,1241.48,953.04,275.069,1177.1,446.454,285.142,1048.22,52.6655,250.485,1009.76,12.5667,340.505,1150.89,-16.2038,303.322,1248.33,-15.278,8.10003
8.10833,279.114,1217.05,1124.87,286.156,1241.63,953.005,275.073,1177.21,446.436,285.16,1048.21,52.7362,250.389,1009.94,12.4473,340.853,1150.75,-15.8389,303.46,1248.1,-15.0462,8.10833
8.11663,279.087,1217.07,1124.87,286.145,1241.71,952.977,274.835,1176.99,446.574,285.178,1048.21,52.7702,250.305,1009.88,12.5759,340.678,1150.87,-16.0041,303.375,1248.29,-15.1978,8.11663
8.12503,279.022,1217.03,1124.89,286.008,1241.82,952.943,274.939,1177.18,446.503,284.186,1048.16,52.4142,250.227,1009.93,12.5957,340.63,1150.84,-15.9919,303.505,1248.26,-15.1965,8.12503
8.13333,278.963,1217.05,1124.91,285.906,1241.86,952.941,274.586,1176.85,446.577,285.051,1048.2,52.8627,250.22,1009.88,12.6746,340.548,1150.85,-15.985,303.503,1248.32,-15.1471,8.13333
8.14163,278.902,1217.03,1124.93,285.82,1242.01,952.898,274.837,1177.21,446.532,284.912,1048.27,52.7406,250.168,1009.93,12.6667,340.735,1150.73,-15.8116,303.442,1248.06,-15.0367,8.14163
8.15003,278.843,1217.01,1124.95,285.708,1242.07,952.897,274.857,1177.29,446.57,284.782,1048.28,52.6987,250.154,1009.9,12.7577,340.43,1150.92,-16.102,303.444,1248.38,-15.3037,8.15003
8.15833,278.781,1217.02,1124.98,285.571,1242.03,952.948,274.651,1177.08,446.722,285.126,1048.23,53.0311,250.758,1010.06,12.9746,340.618,1150.71,-15.8445,303.483,1248.12,-15.0817,8.15833
8.16663,278.713,1217,1124.99,285.509,1242.12,952.99,274.776,1177.26,446.638,284.617,1048.19,52.6691,250.075,1009.9,12.7658,340.57,1150.81,-15.9715,303.456,1248.24,-15.2534,8.16663
8.17503,278.602,1216.93,1125.03,285.407,1242.07,953.019,274.747,1177.23,446.66,284.643,1048.32,52.6964,249.93,1010.06,12.7993,340.663,1150.69,-15.8219,303.483,1248.03,-15.0179,8.17503
8.18333,278.54,1216.9,1125.05,285.316,1242,953.059,274.558,1176.92,446.869,285.081,1048.39,52.9492,250.084,1010.01,12.746,340.398,1150.83,-16.0392,303.453,1248.26,-15.1857,8.18333
8.19163,278.448,1216.78,1125.07,285.22,1242.04,953.096,274.691,1177.18,446.709,284.775,1048.34,52.8055,250.03,1010,12.7569,340.359,1150.85,-16.0667,303.429,1248.34,-15.2178,8.19163
8.20003,278.37,1216.68,1125.08,285.144,1241.91,953.11,274.4,1177.02,446.848,285.007,1048.26,52.9801,249.859,1009.66,12.6197,340.324,1150.86,-16.0807,303.356,1248.34,-15.2196,8.20003
8.20833,278.31,1216.58,1125.1,285.056,1241.84,953.136,274.713,1177.19,446.694,284.724,1048.33,52.7688,250.007,1010.01,12.7249,340.662,1150.67,-15.7636,303.488,1248.03,-15.0049,8.20833
8.21663,278.222,1216.4,1125.11,285.01,1241.73,953.168,274.735,1177.13,446.701,284.605,1048.37,52.6567,250.061,1010.01,12.7441,340.455,1150.8,-15.9631,303.459,1248.26,-15.1706,8.21663
8.22503,278.172,1216.27,1125.13,284.945,1241.58,953.197,274.414,1176.81,446.815,285.072,1048.26,52.8761,249.99,1010.02,12.6549,340.634,1150.7,-15.7992,303.529,1248.01,-14.9984,8.22503
8.23333,278.088,1216.07,1125.15,284.869,1241.51,953.172,274.528,1176.91,446.675,284.724,1048.31,52.6904,249.918,1009.96,12.7056,340.393,1150.85,-16.0366,303.485,1248.2,-15.1176,8.23333
8.24163,278.006,1215.83,1125.15,284.793,1241.37,953.174,274.561,1176.89,446.638,284.604,1048.3,52.6115,249.922,1010.01,12.5728,340.542,1150.79,-15.8258,303.499,1248.03,-15.0273,8.24163
8.25003,277.917,1215.61,1125.15,284.689,1241.11,953.196,274.396,1176.61,446.727,285.066,1048.17,52.8317,249.876,1010.09,12.4516,340.401,1150.85,-16.0062,303.403,1248.29,-15.1936,8.25003
8.25833,277.853,1215.38,1125.14,284.671,1241.01,953.137,274.555,1176.7,446.593,284.429,1048.26,52.5073,249.844,1009.98,12.4662,340.254,1150.79,-16.0422,303.328,1248.33,-15.231,8.25833
8.26663,277.798,1215.17,1125.12,284.568,1240.72,953.128,274.356,1176.35,446.697,284.31,1048.12,52.4918,249.779,1009.91,12.4362,340.42,1150.8,-15.9496,303.441,1248.29,-15.1653,8.26663
8.27503,277.678,1214.97,1125.14,284.508,1240.58,953.112,274.499,1176.39,446.559,284.437,1048.2,52.4128,249.723,1010,12.328,340.578,1150.59,-15.7249,303.527,1247.98,-14.9643,8.27503
8.28333,277.631,1214.72,1125.14,284.462,1240.35,953.116,274.574,1176.27,446.563,284.545,1048.19,52.3659,249.735,1009.89,12.2583,340.257,1150.77,-16.0229,303.555,1248.17,-15.0688,8.28333
8.29163,277.504,1214.51,1125.11,284.331,1240,953.092,274.533,1176.03,446.571,285.127,1048.06,52.5518,249.706,1009.93,12.1078,340.573,1150.61,-15.7491,303.554,1248.04,-14.9727,8.29163
8.30003,277.447,1214.25,1125.08,284.276,1239.74,953.038,274.466,1175.9,446.499,284.437,1047.98,52.175,250.542,1009.96,12.3904,340.308,1150.77,-16.0063,303.451,1248.3,-15.1921,8.30003
