Frame number,5302
First frame,1
Point frequency,120
Analog frequency,120

Time,M024,,,M025,,,M026,,,M027,,,M028,,,M029,,,M030,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0.233333,157.439,-91.2455,1114.68,160.105,-50.5208,943.938,132.641,-60.7507,435.617,139.407,-162.996,31.9189,110.162,-208.667,-8.08626,170.048,-49.6104,-24.1376,117.77,39.179,-22.219
0.241667,156.682,-90.1753,1114.87,159.678,-49.7418,943.918,132.231,-60.5914,435.481,139.36,-162.99,31.8907,110.159,-208.701,-8.0694,170.013,-49.6653,-24.1212,117.603,39.1252,-22.2845
0.25,155.96,-89.0898,1115.25,159.208,-49.0786,943.837,132.096,-60.2966,435.524,139.368,-162.99,31.9774,110.068,-208.556,-8.09967,170.028,-49.6395,-24.142,117.789,39.2359,-22.2352
0.258333,155.453,-87.5962,1115.37,158.755,-48.4556,943.847,131.789,-60.1227,435.446,139.364,-163.038,31.998,110.157,-208.691,-8.09401,170.009,-49.6499,-24.0775,118.032,39.493,-22.2177
0.266667,154.371,-86.3993,1115.78,158.316,-47.7768,943.712,131.478,-59.8977,435.373,139.325,-163.055,32.0156,110.098,-208.639,-8.01814,170.094,-49.5967,-24.1411,117.783,39.2468,-22.1938
0.275,153.877,-85.1104,1115.99,157.876,-47.2196,943.553,131.285,-59.7191,435.362,139.279,-163.081,32.0857,110.14,-208.724,-8.07726,170.032,-49.5805,-24.0841,117.734,39.2635,-22.1446
0.283333,153.096,-83.8577,1116.34,157.682,-46.4739,943.56,131.009,-59.5123,435.286,139.267,-163.132,32.0544,110.033,-208.646,-8.00955,170.087,-49.643,-24.187,117.792,39.2654,-22.1972
0.291667,152.347,-82.6131,1116.63,157.032,-45.9942,943.396,130.802,-59.3659,435.249,139.212,-163.163,32.0728,110.07,-208.689,-8.08942,170.099,-49.6726,-24.1148,117.792,39.265,-22.1637
0.3,151.513,-81.5211,1116.89,156.612,-45.507,943.371,130.639,-59.3718,435.366,139.156,-163.178,32.1599,110.081,-208.736,-8.05777,170.154,-49.6759,-24.1922,117.851,39.229,-22.2641
0.308333,150.639,-80.3958,1117.07,155.922,-45.0682,943.341,130.371,-59.2791,435.32,139.127,-163.24,32.1738,110.126,-208.638,-8.0182,170.196,-49.6613,-24.1654,117.775,39.2466,-22.195
0.316667,149.733,-79.4464,1117.22,155.546,-44.5524,943.311,130.103,-59.2683,435.319,139.063,-163.244,32.2472,109.94,-208.681,-8.00502,170.173,-49.6933,-24.1833,117.865,39.2145,-22.2602
0.325,148.933,-78.5554,1117.31,155.086,-44.1264,943.329,129.968,-59.1629,435.224,139.022,-163.281,32.2403,109.897,-208.727,-8.0117,170.123,-49.7149,-24.1157,117.922,39.1796,-22.1333
0.333333,148.162,-77.7297,1117.42,154.46,-43.6912,943.335,129.702,-59.1037,435.214,138.998,-163.329,32.263,109.851,-208.656,-7.98374,170.193,-49.705,-24.2038,117.932,39.1434,-22.2481
0.341667,147.315,-77.1055,1117.48,154.121,-43.1825,943.338,129.672,-58.9266,435.286,138.95,-163.349,32.3612,109.823,-208.728,-8.01945,170.185,-49.7395,-24.1348,117.926,39.2359,-22.2161
0.35,146.556,-76.4191,1117.57,153.57,-42.8544,943.346,129.558,-58.7554,435.262,138.94,-163.397,32.3907,109.793,-208.643,-7.94953,170.252,-49.7767,-24.2271,117.96,39.1456,-22.2471
0.358333,146.101,-75.611,1117.48,153.018,-42.5537,943.397,129.419,-58.5944,435.272,138.915,-163.438,32.4222,109.771,-208.713,-7.95972,170.286,-49.7566,-24.1638,118.015,39.2824,-22.1587
0.366667,145.141,-75.3764,1117.63,152.762,-42.1546,943.46,129.335,-58.427,435.355,138.853,-163.465,32.5215,109.729,-208.632,-7.9717,170.39,-49.7378,-24.2213,118.028,39.1179,-22.2521
0.375,144.546,-74.9189,1117.61,152.174,-41.9221,943.48,129.166,-58.1967,435.232,138.847,-163.533,32.555,109.724,-208.63,-7.94113,170.368,-49.7928,-24.2565,118.067,39.085,-22.2653
0.383333,143.831,-74.5409,1117.64,151.671,-41.6829,943.453,129.022,-58.037,435.254,138.783,-163.547,32.6347,109.661,-208.575,-7.87854,170.399,-49.7587,-24.2359,117.934,38.9979,-22.3267
0.391667,143.145,-74.2246,1117.69,151.268,-41.1819,943.562,128.917,-57.7625,435.145,138.737,-163.593,32.6493,109.587,-208.51,-7.96944,170.365,-49.7692,-24.1969,118.09,39.1833,-22.1984
0.4,142.484,-73.7988,1117.6,150.809,-40.9053,943.529,128.675,-57.5628,435.108,138.67,-163.596,32.6913,109.561,-208.553,-7.83479,170.39,-49.7676,-24.2791,118.359,39.2571,-22.3447
0.408333,141.673,-73.4942,1117.64,150.498,-40.4889,943.527,128.471,-57.3679,435.208,138.605,-163.57,32.7899,109.529,-208.564,-7.85559,170.404,-49.8241,-24.2212,118.132,39.2446,-22.1735
0.416667,141.151,-73.1844,1117.53,149.917,-40.1344,943.584,128.164,-57.186,435.056,138.534,-163.585,32.8166,109.465,-208.529,-7.76827,170.449,-49.7998,-24.2745,118.092,39.0699,-22.2507
0.425,140.562,-72.7982,1117.44,149.535,-39.9394,943.386,127.908,-56.7225,435.033,138.455,-163.602,32.8932,109.401,-208.509,-7.76845,170.418,-49.8077,-24.2313,118.122,39.1567,-22.2011
0.433333,140.08,-72.5217,1117.39,149.109,-39.4572,943.188,127.829,-56.2701,435.099,138.348,-163.541,32.9875,109.333,-208.5,-7.73054,170.465,-49.8498,-24.2324,118.119,39.0916,-22.2533
0.441667,139.558,-72.1533,1117.31,148.624,-39.2797,943.244,127.344,-56.0574,434.897,138.238,-163.555,32.9792,109.24,-208.459,-7.70986,170.395,-49.8181,-24.2722,118.152,39.138,-22.2729
0.45,138.907,-71.9134,1117.23,148.409,-38.825,943.145,127.332,-55.5427,435.12,138.162,-163.531,33.0809,109.316,-208.328,-7.57337,170.405,-49.8066,-24.2479,118.015,39.2157,-22.2236
0.458333,138.362,-71.6224,1117.1,147.695,-38.5478,943.094,126.828,-55.3653,434.88,138.079,-163.527,33.0729,109.159,-208.452,-7.6918,170.408,-49.8038,-24.2047,118.131,39.3311,-22.1838
0.466667,137.969,-71.2786,1116.99,147.407,-38.1462,943.026,126.582,-55.0873,434.786,137.996,-163.481,33.1058,108.954,-208.433,-7.51775,170.372,-49.8107,-24.246,118.195,39.1812,-22.2331
0.475,137.41,-71.0027,1116.89,146.892,-37.8053,942.88,126.584,-54.6891,434.94,137.92,-163.415,33.2011,109.009,-208.376,-7.57021,170.385,-49.8126,-24.2008,118.179,39.3375,-22.22
0.483333,136.901,-70.6369,1116.8,146.262,-37.5165,942.804,125.583,-54.8343,434.796,137.87,-163.416,33.2023,108.946,-208.368,-7.49868,170.343,-49.7931,-24.2337,118.147,39.2343,-22.3088
0.491667,136.389,-70.3325,1116.66,145.789,-37.1948,942.683,125.7,-54.4397,434.746,137.803,-163.408,33.2345,108.903,-208.331,-7.51001,170.369,-49.7732,-24.1689,118.161,39.381,-22.2337
0.5,135.906,-69.9329,1116.49,145.571,-36.7725,942.617,125.844,-54.1388,434.946,137.761,-163.384,33.3219,108.895,-208.399,-7.44557,170.33,-49.7762,-24.2056,118.123,39.2707,-22.292
0.508333,135.421,-69.634,1116.42,145.006,-36.5139,942.553,125.401,-54.056,434.851,137.732,-163.421,33.332,108.821,-208.313,-7.48956,170.361,-49.7873,-24.2397,118.116,39.2683,-22.2855
0.516667,134.861,-69.3686,1116.31,144.561,-36.1805,942.531,125.222,-53.9684,434.911,137.641,-163.354,33.4199,108.779,-208.254,-7.39187,170.392,-49.8031,-24.2548,118.091,39.3395,-22.3183
0.525,134.351,-69.0105,1116.22,143.82,-36.2534,942.381,124.61,-54.0966,434.749,137.588,-163.397,33.4121,108.753,-208.308,-7.43973,170.328,-49.8475,-24.2054,118.082,39.3723,-22.2659
0.533333,134.018,-68.6303,1116.16,143.58,-35.6381,942.487,124.202,-54.194,434.681,137.525,-163.425,33.431,108.665,-208.151,-7.43812,170.315,-49.7957,-24.2438,118.189,39.2847,-22.3181
0.541667,133.385,-68.299,1116.04,143.453,-35.2735,942.509,124.517,-53.8958,434.9,137.493,-163.424,33.4934,108.689,-208.292,-7.43175,170.288,-49.8298,-24.2001,118.404,39.4554,-22.3004
0.55,132.802,-67.9528,1116.02,142.977,-34.9908,942.436,123.999,-53.9969,434.774,137.481,-163.477,33.478,108.69,-208.282,-7.35992,170.299,-49.8148,-24.2203,118.163,39.2635,-22.2713
0.558333,132.404,-67.5746,1115.95,142.463,-34.631,942.502,123.809,-53.9873,434.705,137.405,-163.503,33.474,108.646,-208.31,-7.44408,170.272,-49.8346,-24.1739,118.141,39.3355,-22.175
0.566667,131.815,-67.2781,1115.83,142.245,-34.4844,942.344,124.088,-53.5536,434.957,137.41,-163.447,33.5582,108.646,-208.294,-7.43115,170.351,-49.8499,-24.2495,118.178,39.3038,-22.2742
0.575,131.423,-66.8808,1115.77,141.641,-34.2219,942.186,123.579,-53.5442,434.634,137.428,-163.462,33.5377,108.629,-208.289,-7.43794,170.307,-49.8774,-24.2329,118.155,39.2326,-22.2676
0.583333,130.871,-66.6234,1115.72,141.424,-34.0231,942.23,123.61,-53.4372,434.845,137.386,-163.445,33.594,108.631,-208.257,-7.33608,170.329,-49.8429,-24.2205,118.157,39.2694,-22.2938
0.591667,130.35,-66.3659,1115.64,141.327,-33.6856,942.141,123.415,-53.3543,434.736,137.382,-163.472,33.5516,109.007,-208.15,-7.23267,170.283,-49.8407,-24.1687,118.034,39.4292,-22.1357
0.6,129.965,-66.0477,1115.54,140.722,-33.4624,942.166,123.071,-53.3853,434.705,137.349,-163.444,33.5566,108.653,-208.292,-7.37846,170.286,-49.8528,-24.2181,118.177,39.2423,-22.2926
0.608333,129.448,-65.8407,1115.46,140.748,-33.1045,942.25,123.048,-53.3001,434.852,137.322,-163.4,33.6205,108.52,-208.354,-7.38299,170.261,-49.8804,-24.1573,118.177,39.3381,-22.1511
0.616667,128.984,-65.6253,1115.38,140.004,-32.9443,942.091,122.485,-53.4091,434.699,137.302,-163.425,33.6133,108.624,-208.282,-7.33226,170.26,-49.8365,-24.215,118.156,39.2973,-22.2717
0.625,128.702,-65.2899,1115.32,139.615,-32.7232,941.974,122.227,-53.2896,434.559,137.291,-163.415,33.6188,108.612,-208.372,-7.40373,170.249,-49.8406,-24.1624,118.132,39.3984,-22.2122
0.633333,128.143,-65.2015,1115.25,139.444,-32.4356,941.928,122.441,-53.0018,434.727,137.233,-163.343,33.6591,108.615,-208.316,-7.35843,170.187,-49.8503,-24.2291,118.104,39.2464,-22.2949
0.641667,127.856,-64.9375,1115.18,139.073,-32.21,941.879,122.09,-52.9591,434.483,137.251,-163.381,33.6336,108.568,-208.377,-7.3095,170.23,-49.7906,-24.1958,118.121,39.2537,-22.2896
0.65,127.446,-64.8028,1115.09,138.89,-31.9278,941.908,122.215,-52.7645,434.787,137.207,-163.303,33.6553,108.603,-208.276,-7.28667,170.24,-49.8151,-24.1657,118.095,39.3199,-22.2709
0.658333,127.072,-64.6642,1115.01,138.467,-31.7893,941.88,121.815,-52.8602,434.732,137.226,-163.321,33.6391,108.577,-208.267,-7.30729,170.208,-49.8341,-24.1394,118.104,39.4314,-22.1918
0.666667,126.739,-64.4188,1114.96,137.888,-31.9334,941.704,121.512,-52.8452,434.643,137.191,-163.337,33.6618,108.552,-208.263,-7.27677,170.203,-49.7954,-24.2013,117.991,39.2759,-22.3109
0.675,126.402,-64.2513,1114.93,138.053,-31.2576,941.844,121.661,-52.5922,434.751,137.14,-163.289,33.7062,108.472,-208.172,-7.41035,170.16,-49.8273,-24.1116,118.108,39.4093,-22.2276
0.683333,125.969,-64.1096,1114.88,137.748,-31.1235,941.884,120.999,-52.7935,434.487,137.151,-163.309,33.6749,108.527,-208.25,-7.26473,170.178,-49.7946,-24.2059,118.316,39.4207,-22.3638
0.691667,125.7,-63.8564,1114.82,137.489,-30.8478,941.802,121.014,-52.6272,434.52,137.158,-163.318,33.6832,108.558,-208.297,-7.30509,170.141,-49.8002,-24.117,118.081,39.3872,-22.2242
0.7,125.304,-63.7181,1114.75,137.2,-30.4574,941.958,121.478,-52.1561,434.75,137.085,-163.287,33.6974,108.604,-208.314,-7.29364,170.19,-49.7932,-24.173,118.009,39.2984,-22.2728
0.708333,125.024,-63.4461,1114.68,136.945,-30.4552,941.757,120.943,-52.3304,434.569,137.128,-163.272,33.7054,108.558,-208.293,-7.30109,170.176,-49.8298,-24.1929,118.046,39.3385,-22.2678
0.716667,124.707,-63.2213,1114.67,136.743,-30.1273,941.586,121.214,-51.9539,434.597,137.056,-163.225,33.7442,108.559,-208.247,-7.23904,170.192,-49.8281,-24.1473,118.04,39.2988,-22.263
0.725,124.379,-63.0015,1114.66,136.348,-30.1057,941.665,120.503,-52.2792,434.465,137.094,-163.229,33.7227,108.554,-208.251,-7.30288,170.09,-49.8117,-24.1071,118.055,39.4292,-22.2055
