Time,Fx,Fy,Fz,Mx,My,Mz,CoPx,CoPy
0.322,-4.664905,-0.965116,552.331195,-43.070905,1.233978,-0.370417,-0.002234,-0.07798
0.323,-4.575662,-0.964112,552.158865,-43.03863,1.261512,-0.329602,-0.002285,-0.077946
0.324,-4.663844,-0.784842,552.158799,-43.04754,1.25794,-0.19778,-0.002278,-0.077962
0.325,-4.665238,-0.698366,552.50216,-42.985078,1.211441,-0.358596,-0.002193,-0.077801
0.326,-4.575591,-0.696979,552.15791,-42.985662,1.215925,-0.317885,-0.002202,-0.07785
0.327,-4.57585,-0.51853,552.331707,-42.962007,1.239536,-0.169117,-0.002244,-0.077783
0.328,-4.398688,-0.60922,552.160321,-42.990215,1.224258,-0.32986,-0.002217,-0.077858
0.329,-4.487262,-0.520331,551.987991,-42.896015,1.243166,-0.301083,-0.002252,-0.077712
0.33,-4.487899,-0.518849,552.162175,-42.929593,1.220562,-0.152364,-0.002211,-0.077748
0.331,-4.310043,-0.431889,551.987945,-42.900432,1.251683,-0.346702,-0.002268,-0.07772
0.332,-4.221858,-0.343561,552.163385,-42.872207,1.232938,-0.284302,-0.002233,-0.077644
0.333,-4.133721,-0.34193,551.993794,-42.840464,1.214495,-0.15242,-0.0022,-0.07761
0.334,-4.22239,-0.255188,552.162356,-42.810601,1.232947,-0.329945,-0.002233,-0.077533
0.335,-4.133561,-0.252994,552.161783,-42.811432,1.237796,-0.231618,-0.002242,-0.077534
0.336,-4.045456,-0.25314,552.166153,-42.812198,1.242011,-0.123568,-0.002249,-0.077535
0.337,-4.044887,-0.166668,551.992952,-42.782719,1.264497,-0.284302,-0.002291,-0.077506
0.338,-3.956466,-0.166132,551.994865,-42.78335,1.268895,-0.209896,-0.002299,-0.077507
0.339,-3.956306,-0.253111,551.993853,-42.779587,1.269279,-0.140317,-0.002299,-0.0775
0.34,-3.867916,-0.166862,551.994381,-42.783174,1.272947,-0.284262,-0.002306,-0.077507
0.341,-3.868746,-0.077384,552.168294,-42.68942,1.250278,-0.181124,-0.002264,-0.077312
0.342,-3.691422,-0.253881,551.655032,-42.649192,1.235574,-0.123551,-0.00224,-0.077311
0.343,-3.690916,-0.255267,551.82411,-42.681094,1.258334,-0.272235,-0.00228,-0.077345
0.344,-3.60247,-0.165803,551.826976,-42.686159,1.26288,-0.152279,-0.002289,-0.077354
0.345,-3.602926,-0.254158,551.484431,-42.682441,1.262733,-0.106717,-0.00229,-0.077396
0.346,-3.601572,-0.166148,551.480219,-42.685872,1.308776,-0.243442,-0.002373,-0.077402
0.347,-3.514348,-0.254673,551.656595,-42.584016,1.290025,-0.123353,-0.002338,-0.077193
0.348,-3.514322,-0.165744,551.657548,-42.58845,1.290173,-0.077803,-0.002339,-0.077201
0.349,-3.424813,-0.167622,551.484238,-42.620832,1.363043,-0.209601,-0.002472,-0.077284
0.35,-3.337017,-0.255602,551.31615,-42.58479,1.344268,-0.089624,-0.002438,-0.077242
0.351,-3.424707,-0.254147,551.313109,-42.650495,1.386534,-0.048822,-0.002515,-0.077362
0.352,-3.335676,-0.344021,551.139885,-42.613113,1.413389,-0.168684,-0.002564,-0.077318
0.353,-3.246655,-0.342724,550.969983,-42.581309,1.441004,-0.036661,-0.002615,-0.077284
0.354,-3.246996,-0.432335,550.971486,-42.57701,1.440672,-0.048566,-0.002615,-0.077276
0.355,-3.158943,-0.434423,551.142951,-42.543639,1.467508,-0.180392,-0.002663,-0.077192
0.356,-3.070238,-0.433809,550.975506,-42.51197,1.494939,-0.014724,-0.002713,-0.077158
0.357,-3.069479,-0.5212,551.143541,-42.540445,1.518349,-0.036265,-0.002755,-0.077186
0.358,-2.980085,-0.433809,550.800333,-42.544457,1.522183,-0.122698,-0.002764,-0.077241
0.359,-2.980452,-0.52275,550.804369,-42.475335,1.568199,0.014328,-0.002847,-0.077115
