Frame number,13130
First frame,1
Point frequency,120
Analog frequency,120

Time,M024,,,M025,,,M026,,,M027,,,M028,,,M029,,,M030,,
s,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm,mm
,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,136.167,-135.618,1112.9,145.978,-110.168,941.988,113.744,-127.348,435.717,109.264,-244.183,33.8527,79.3293,-270.091,-7.24369,152.185,-117.911,-25.7975,106.245,-22.4721,-23.5922
0.00833333,136.104,-135.507,1112.95,146.075,-109.997,942.018,113.855,-127.374,435.886,109.331,-244.061,33.9327,79.4236,-270.079,-7.1848,152.235,-117.903,-25.8207,106.171,-22.5003,-23.6917
0.0166667,136.113,-135.353,1112.97,145.997,-110.035,941.974,113.727,-127.402,435.697,109.369,-244.176,33.8006,79.4821,-270.204,-7.28559,152.207,-117.889,-25.8194,106.192,-22.5584,-23.693
0.025,135.951,-135.307,1112.96,145.954,-109.912,941.977,113.828,-127.365,435.885,109.367,-244.141,33.8324,79.3263,-270.178,-7.16412,152.185,-117.918,-25.7773,106.232,-22.6239,-23.6356
0.0333333,135.813,-135.253,1112.92,145.911,-109.925,942,113.786,-127.407,435.814,109.401,-244.213,33.7849,79.467,-270.189,-7.26706,152.137,-117.899,-25.7452,106.162,-22.5477,-23.5546
0.0416667,135.837,-135.111,1112.86,145.807,-109.888,942.017,113.776,-127.338,435.732,109.442,-244.234,33.7864,79.4613,-270.086,-7.20555,152.165,-117.88,-25.8327,106.157,-22.5707,-23.6425
0.05,135.604,-135.229,1112.8,145.778,-109.713,942.024,113.831,-127.311,435.844,109.406,-244.14,33.8351,79.4753,-270.166,-7.27838,152.128,-117.913,-25.736,106.152,-22.5586,-23.579
0.0583333,135.463,-135.236,1112.76,145.557,-109.73,942.01,113.977,-127.175,435.796,109.415,-244.176,33.7816,79.4841,-270.163,-7.23565,152.191,-117.905,-25.791,106.173,-22.5779,-23.6471
0.0666667,135.396,-135.222,1112.68,145.512,-109.613,941.994,113.782,-127.201,435.717,109.46,-244.134,33.738,79.4923,-270.179,-7.28035,152.071,-117.885,-25.7178,106.136,-22.5691,-23.5621
0.075,135.07,-135.401,1112.63,145.506,-109.503,942.037,113.83,-127.07,435.845,109.457,-244.048,33.7871,79.5105,-270.171,-7.26426,152.101,-117.901,-25.771,106.104,-22.5846,-23.6421
0.0833333,134.955,-135.436,1112.57,145.285,-109.521,942.031,113.747,-127.006,435.738,109.483,-244.077,33.776,79.5368,-270.196,-7.27391,152.109,-117.89,-25.7764,106.102,-22.5791,-23.633
0.0916667,134.658,-135.671,1112.53,145.213,-109.473,942.051,113.74,-126.921,435.881,109.435,-244.021,33.8519,79.4931,-270.136,-7.22867,152.156,-117.871,-25.7707,106.127,-22.5625,-23.6247
0.1,134.496,-135.845,1112.49,144.96,-109.534,942.061,113.558,-126.871,435.67,109.41,-244.019,33.7999,79.5111,-270.168,-7.22331,152.018,-117.914,-25.7075,106.11,-22.5222,-23.5366
0.108333,134.476,-136.048,1112.41,144.805,-109.574,942.137,113.505,-126.781,435.621,109.366,-244.03,33.7703,79.4845,-270.128,-7.19947,152.131,-117.898,-25.7242,106.082,-22.5761,-23.6694
0.116667,134.205,-136.386,1112.4,144.838,-109.529,942.171,113.641,-126.611,435.895,109.422,-243.948,33.8953,79.4716,-270.148,-7.2341,151.969,-117.843,-25.6599,106.099,-22.5165,-23.5428
0.125,133.999,-136.745,1112.37,144.535,-109.695,942.243,113.601,-126.563,435.773,109.428,-244.062,33.7836,79.4475,-270.131,-7.20811,152.02,-117.85,-25.7089,106.074,-22.5719,-23.6284
0.133333,134.057,-136.963,1112.34,144.439,-109.779,942.352,113.596,-126.47,435.709,109.224,-244.104,33.8718,79.5036,-270.159,-7.285,151.974,-117.865,-25.6631,106.096,-22.4923,-23.5162
0.141667,133.906,-137.292,1112.38,144.382,-109.819,942.423,113.435,-126.608,435.85,109.26,-244.035,33.9306,79.3607,-270.092,-7.30467,152.036,-117.857,-25.7428,106.091,-22.5916,-23.6157
0.15,133.905,-137.422,1112.34,144.098,-110.095,942.423,113.273,-126.648,435.68,109.287,-243.991,33.8871,79.4809,-270.119,-7.25788,152.044,-117.89,-25.707,106.071,-22.5987,-23.6334
0.158333,133.78,-137.573,1112.37,144.245,-110.112,942.462,113.356,-126.538,435.79,109.266,-244.043,33.9276,79.4632,-270.168,-7.27421,152.021,-117.924,-25.7183,106.108,-22.5811,-23.6274
0.166667,133.667,-137.614,1112.4,144.097,-110.307,942.442,113.255,-126.51,435.653,109.262,-244.031,33.8077,79.2914,-270.221,-7.20572,151.902,-117.937,-25.6199,106.123,-22.6099,-23.5086
