,CoPx,CoPy,Fx,Fy,Fz,Mx,My,Mz,TIME
2,-0.0136153,-0.09585,0.1688205,-12.4259483,550.5586184,-52.771109,7.4958235,0.0060923,0
3,-0.013774,-0.095869,0.19681,-12.692255,551.004584,-52.823986,7.589264,0.023617,0.0083
4,-0.013956,-0.0959754,0.3750363,-12.8434227,551.0047018,-52.8829357,7.6897906,0.0275595,0.0166
5,-0.0140449,-0.0959397,0.4990646,-12.7812485,551.2448386,-52.886187,7.7420714,0.0360849,0.025
6,-0.014238,-0.096102,0.731527,-12.781709,551.004815,-52.952396,7.845173,0.036337,0.0333
7,-0.014308,-0.0961707,0.9356456,-13.108935,550.5937398,-52.9510282,7.8777902,0.0926638,0.0416
8,-0.0142802,-0.0964374,1.0862559,-13.4639723,550.030861,-53.0433062,7.8543438,0.1313565,0.05
9,-0.014515,-0.096649,1.17704,-13.757007,549.807418,-53.138104,7.980388,0.157007,0.0583
10,-0.014636,-0.096663,1.178118,-13.93405,549.979073,-53.162691,8.049605,0.214912,0.0666
11,-0.014898,-0.0965506,1.0288701,-13.8735553,550.199642,-53.1222256,8.1966948,0.1711815,0.075
12,-0.015191,-0.096565,0.827459,-13.671494,549.97435,-53.108259,8.354918,0.146064,0.0833
13,-0.0153229,-0.0964564,0.6515691,-13.4675632,550.1418881,-53.0646867,8.4297389,0.1089612,0.0916
14,-0.0155592,-0.0962394,0.3880572,-13.3792975,550.0159629,-52.933389,8.5576816,0.0540456,0.1
15,-0.015556,-0.096204,0.210522,-13.673226,549.965474,-52.909117,8.555471,0.038654,0.1083
16,-0.0155159,-0.096128,0.0326774,-13.9418766,550.363374,-52.9053115,8.5392752,-0.0071144,0.1166
17,-0.0156045,-0.0960136,-0.2052637,-13.8793453,550.3571375,-52.8416408,8.5879804,-0.0843475,0.125
18,-0.015911,-0.095845,-0.317282,-13.321733,549.101544,-52.628765,8.736772,-0.076227,0.1333
19,-0.01597,-0.095434,-0.0512843,-12.7008274,549.3763858,-52.4289643,8.773387,-0.0811507,0.1416
20,-0.0159671,-0.0953866,-0.0515035,-12.3740916,549.9103859,-52.4539098,8.7804592,-0.1015542,0.15
21,-0.015973,-0.09525,-0.050971,-12.258334,549.274418,-52.318591,8.773536,-0.093321,0.1583
22,-0.0160014,-0.0952409,0.064671,-12.3746237,548.5904489,-52.248014,8.7784125,-0.0899074,0.1666
23,-0.0159093,-0.0950999,0.3914391,-12.2853972,548.4215501,-52.1547993,8.7251104,-0.0730505,0.175
24,-0.016016,-0.094985,0.746767,-11.55002,548.766773,-52.124654,8.788915,-0.076757,0.1833
25,-0.01618,-0.094666,0.924131,-11.107118,549.453649,-52.014608,8.890308,-0.064565,0.1916
26,-0.01661,-0.0944963,0.77617,-10.7540652,549.6737947,-51.9422915,9.1299406,-0.0590006,0.2
27,-0.017256,-0.094384,0.576137,-10.579022,550.304025,-51.939962,9.496047,-0.063038,0.2083
28,-0.0180564,-0.094168,-0.0041388,-10.5829689,550.6394825,-51.8526385,9.94237,-0.1193343,0.2166
29,-0.0188115,-0.0938656,-0.8669349,-10.7632466,550.1645346,-51.641632,10.3495152,-0.185387,0.225
30,-0.019533,-0.093553,-1.536244,-11.121902,549.246682,-51.383524,10.728473,-0.265838,0.2333
31,-0.0202711,-0.093288,-2.3290315,-11.5690418,548.4477399,-51.1634872,11.1176451,-0.3438125,0.2416
32,-0.0209497,-0.09305,-2.8549635,-11.8999284,545.6606889,-50.7735535,11.4314566,-0.3539212,0.25
33,-0.02172,-0.092899,-3.380707,-12.104739,542.696419,-50.415997,11.787331,-0.383389,0.2583
34,-0.0221548,-0.0929684,-3.6684219,-12.2825454,538.9321867,-50.1034638,11.9398916,-0.3616403,0.2666
35,-0.0224758,-0.092834,-3.9931384,-13.0541298,534.9463023,-49.6612382,12.0233466,-0.3174303,0.275
36,-0.022728,-0.092991,-4.255819,-13.966811,530.669417,-49.347278,12.061247,-0.246734,0.2833
37,-0.0230401,-0.0930049,-4.3422055,-15.437737,525.8758771,-48.9089951,12.1162935,-0.2293188,0.2916
38,-0.0233843,-0.0929763,-4.4288829,-16.7777035,520.0570711,-48.3528382,12.161255,-0.1853986,0.3
39,-0.023787,-0.093018,-4.514246,-17.77941,513.839611,-47.796363,12.222846,-0.160485,0.3083
40,-0.0244823,-0.0927749,-4.7144148,-18.9858458,507.1728952,-47.0529761,12.4167983,-0.1534084,0.3166
41,-0.0251509,-0.0926388,-4.7106259,-19.8830665,499.6660691,-46.2885305,12.5670653,-0.2431812,0.325
42,-0.025761,-0.092512,-4.681002,-20.97474,490.649577,-45.391131,12.639531,-0.310031,0.3333
43,-0.0259837,-0.09227,-4.7956778,-22.7380095,479.8813793,-44.2786589,12.4691789,-0.3823011,0.3416
44,-0.0259119,-0.0917599,-5.0979731,-24.9691948,465.3384646,-42.6995348,12.0577953,-0.3624237,0.35
45,-0.025315,-0.091483,-5.037175,-27.879039,445.839188,-40.786644,11.286222,-0.235472,0.3583
46,-0.0242588,-0.0909314,-5.01267,-30.4936173,421.9110728,-38.3648595,10.2352617,-0.0748633,0.3666
47,-0.022925,-0.0903414,-5.0648495,-32.768734,393.8751534,-35.583035,9.0298026,0.0386171,0.375
48,-0.021382,-0.089745,-5.034745,-34.139416,362.40542,-32.523928,7.749099,0.112268,0.3833
49,-0.0202474,-0.0883983,-4.8495796,-33.5417983,331.5451963,-29.3080848,6.7129584,0.0706444,0.3916
50,-0.0205335,-0.0866241,-4.4205724,-30.5819521,307.9920128,-26.679657,6.3241572,-0.1233898,0.4
51,-0.022809,-0.084786,-2.872311,-24.278096,295.069681,-25.017708,6.730148,-0.398313,0.4083
52,-0.0249161,-0.0829813,-0.5318999,-19.969938,285.3238491,-23.6765893,7.1091907,-0.4126162,0.4166
53,-0.0265202,-0.0806512,0.7214288,-20.208287,271.9609284,-21.9339344,7.2123209,-0.1135695,0.425
54,-0.027261,-0.077827,0.687333,-24.540952,254.236885,-19.786572,6.93064,0.295185,0.4333
55,-0.0276052,-0.0750576,0.1014185,-31.134289,234.6233987,-17.6104145,6.4768492,0.6839311,0.4416
56,-0.0273992,-0.0706095,-1.0348776,-36.3731063,217.5789023,-15.3633227,5.9615401,0.8373388,0.45
57,-0.02778,-0.067122,-2.946963,-39.523178,207.202432,-13.907837,5.756075,0.792735,0.4583
58,-0.028048,-0.0652121,-5.2194899,-45.9137177,207.3390609,-13.5209346,5.8154532,0.8327053,0.4666
59,-0.0272341,-0.0639592,-5.0613296,-52.8076109,224.2679694,-14.3438204,6.1076502,1.092217,0.475
60,-0.025935,-0.061917,-2.291395,-56.675657,254.171088,-15.737633,6.59205,1.387751,0.4833
61,-0.0244557,-0.0570971,-0.0036003,-62.1687373,278.8234079,-15.9198904,6.818757,1.5781477,0.4916
62,-0.0235099,-0.0505933,0.7431913,-70.0892759,298.0427528,-15.0784548,7.0069747,1.4373704,0.5
63,-0.023853,-0.044069,0.539499,-76.179999,321.472121,-14.166909,7.66806,1.067614,0.5083
64,-0.0242064,-0.0386281,0.3135266,-79.3684978,350.5627467,-13.5412578,8.4858681,0.8382481,0.5166
65,-0.0243766,-0.0339805,-0.4852074,-80.721803,394.9798069,-13.4208078,9.6282897,0.7083021,0.525
66,-0.025492,-0.029062,-1.486631,-75.853745,452.963519,-13.164053,11.546743,1.071387,0.5333
67,-0.0268849,-0.0231275,-5.4379014,-81.6025951,525.3358122,-12.1488316,14.1237139,0.0516608,0.5416
68,-0.028107,-0.018387,-6.8528217,-86.3263867,595.6023829,-10.9503098,16.7410758,-0.4160616,0.55
69,-0.029803,-0.014048,-7.235799,-84.07445,671.909226,-9.439251,20.025007,-0.832072,0.5583
70,-0.031789,-0.0102346,-6.9418679,-79.33633,746.3638226,-7.6377202,23.7266044,-0.7966414,0.5666
71,-0.0338104,-0.0072988,-5.3310592,-74.1800024,827.4028147,-6.0384954,27.9750483,0.1752884,0.575
72,-0.03559,-0.003815,-3.768068,-66.479823,908.273186,-3.465011,32.325037,1.317203,0.5833
73,-0.0368714,0.0004371,-4.5541953,-55.3869711,984.9952803,0.4316929,36.3183741,1.7646086,0.5916
