Time,M024X,M024Y,M024Z,M025X,M025Y,M025Z,M026X,M026Y,M026Z,M027X,M027Y,M027Z,M028X,M028Y,M028Z,M029X,M029Y,M029Z,M030X,M030Y,M030Z
0,142.202,-58.1936,1115.13,147.969,-50.508,943.036,126.867,-49.4816,434.27,125.882,-155.962,32.43,88.6954,-194.979,-8.81034,172.933,-47.2504,-24.9807,134.812,48.1641,-22.9
0.00833,142.173,-57.4372,1114.97,148.448,-49.7357,942.979,126.922,-48.7931,434.127,125.658,-155.84,32.4935,88.6581,-195.014,-8.84443,172.865,-47.2437,-24.8694,134.822,48.2234,-22.8347
0.01666,142.174,-56.5697,1114.86,147.676,-50.5581,942.853,126.831,-48.0703,434.066,125.289,-155.474,32.3505,88.6579,-195.055,-8.83996,172.86,-47.2799,-24.9185,134.783,48.126,-22.9202
0.025,142.113,-55.7477,1114.64,147.507,-50.5627,942.717,126.801,-47.4238,433.925,125.466,-155.658,32.5238,88.6596,-195.018,-8.85814,172.816,-47.3471,-24.9606,134.803,48.1328,-22.894
0.03333,142.197,-54.813,1114.41,147.354,-50.7113,942.628,126.788,-46.639,433.841,125.465,-155.638,32.6424,88.6209,-194.984,-8.80384,172.821,-47.343,-25.0169,134.786,48.1257,-22.8948
0.04166,142.124,-53.9605,1114.09,147.263,-50.7788,942.467,126.697,-45.951,433.678,125.43,-155.641,32.6162,88.6143,-195.016,-8.85838,172.807,-47.3744,-24.9134,134.9,48.1982,-22.7864
0.05,142.056,-53.0502,1113.7,147.075,-50.9735,942.296,126.603,-45.1956,433.504,125.329,-155.587,32.6211,88.5873,-194.978,-8.78096,172.837,-47.3943,-24.9286,134.91,48.0986,-22.8996
0.05833,142.102,-52.1457,1113.29,146.74,-51.3807,942.126,126.596,-44.2683,433.374,125.237,-155.49,32.6984,88.5398,-194.959,-8.8042,172.776,-47.3834,-24.8343,134.898,48.1369,-22.8052
0.06666,142.226,-51.2353,1112.77,146.504,-51.704,941.892,126.491,-43.2945,433.182,125.156,-155.392,32.7107,88.5171,-194.915,-8.71915,172.761,-47.3983,-24.9277,134.88,48.1052,-22.9208
0.075,142.231,-50.3641,1112.22,146.231,-52.4124,941.473,126.164,-42.5163,432.823,125.824,-154.883,33.1691,88.4419,-194.887,-8.73697,172.681,-47.3551,-24.8396,134.909,48.2729,-22.7571
