Time,M024X,M024Y,M024Z,M025X,M025Y,M025Z,M026X,M026Y,M026Z,M027X,M027Y,M027Z,M028X,M028Y,M028Z,M029X,M029Y,M029Z,M030X,M030Y,M030Z
0.4167,151.34,-59.705,1100.59,158.243,-34.6091,939.863,128.615,-27.1164,434.157,128.154,-132.49,30.4648,96.4951,-175.625,-9.35107,164.314,-22.3875,-26.3904,122.332,69.8378,-23.0578
0.425,151.454,-58.7265,1100.47,158.333,-34.1567,939.645,128.542,-26.684,434.058,128.414,-132.35,30.5558,96.5082,-175.617,-9.39155,164.325,-22.4092,-26.2127,122.407,69.7877,-22.9918
0.4333,151.607,-57.6681,1100.36,158.337,-33.7109,939.438,128.733,-26.1168,433.901,128.602,-132.262,30.526,96.4803,-175.598,-9.32956,164.046,-22.0844,-26.546,122.294,69.9052,-23.1615
0.4417,151.645,-56.6513,1100.23,158.35,-33.4539,939.325,128.717,-26.0625,434.015,128.436,-132.269,30.6129,96.473,-175.602,-9.38487,164.318,-22.4244,-26.1752,122.36,69.9089,-22.9992
0.45,151.704,-55.5584,1100.05,158.477,-33.0503,939.094,128.609,-25.8462,433.988,128.399,-132.276,30.548,96.4425,-175.597,-9.32199,164.242,-22.4711,-26.2189,122.216,69.9458,-23.0253
0.4583,151.872,-54.3688,1099.87,158.528,-32.6464,938.909,128.767,-25.7804,433.892,128.396,-132.276,30.5442,96.5032,-175.576,-9.38028,164.351,-22.4223,-26.1809,122.381,69.914,-22.9722
0.4667,151.914,-53.235,1099.7,158.494,-32.2232,938.687,129.046,-25.7916,433.993,128.447,-132.106,30.4916,96.5086,-175.556,-9.36538,164.362,-22.3951,-26.2802,122.319,69.7997,-23.0689
0.475,151.988,-51.9909,1099.51,158.579,-31.9106,938.563,128.925,-25.7322,433.816,128.518,-132.204,30.485,96.5128,-175.569,-9.3472,164.318,-22.3522,-26.3544,122.285,69.8593,-23.0954
0.4833,152.026,-50.7843,1099.32,158.645,-31.5813,938.361,129.163,-25.7112,433.831,128.389,-132.162,30.6116,96.4954,-175.553,-9.30601,164.344,-22.3549,-26.3101,122.235,69.8984,-23.1106
0.4917,152.054,-49.5897,1099.11,158.663,-31.3017,938.172,129.029,-25.8616,433.806,128.535,-132.225,30.4682,96.5476,-175.558,-9.34636,164.906,-22.0239,-25.8906,122.329,69.9411,-22.9416
