,CoPx,CoPy,Fx,Fy,Fz,Mx,My,Mz,TIME
55,-0.0017479,-0.10092704,-3.21360644,-13.44650276,545.2021568,-55.0253939,0.9527593,-0.50789074,0
56,-0.00241909,-0.10195028,-3.47402663,-13.74122161,543.9890952,-55.45982965,1.31597784,-0.57369824,0.00833
57,-0.003388,-0.103405,-3.644044,-14.392081,541.858028,-56.030864,1.835948,-0.679895,0.01666
58,-0.00449304,-0.10503018,-3.96349626,-15.51762136,539.9523313,-56.71119894,2.4260819,-0.82197476,0.025
59,-0.00547359,-0.10686312,-4.57606421,-16.66884718,538.5571631,-57.55197165,2.94787281,-0.9823241,0.03333
60,-0.006415,-0.108556,-4.954972,-17.940299,537.853806,-58.387408,3.450332,-1.139284,0.04166
61,-0.00715194,-0.10975132,-5.12750808,-18.73757262,537.0402728,-58.9408639,3.84085188,-1.21758816,0.05
62,-0.00735035,-0.11059029,-5.21429478,-18.61790485,536.5772702,-59.34003581,3.94411311,-1.16729402,0.05833
63,-0.007344,-0.110919,-5.034275,-17.314455,535.260847,-59.370647,3.931067,-1.0196,0.06666
64,-0.00745746,-0.11097918,-5.1164719,-15.59317486,531.8730538,-59.0269103,3.96651644,-0.83148762,0.075
65,-0.00758266,-0.11094474,-5.25856179,-13.93626768,526.2625564,-58.38602454,3.9903918,-0.73958186,0.08333
66,-0.007613,-0.111018,-5.459858,-12.426638,519.788287,-57.705933,3.956942,-0.73212,0.09166
67,-0.00728644,-0.11122764,-5.54556702,-11.3582433,512.7937963,-57.0368787,3.73643404,-0.75134314,0.1
68,-0.00676893,-0.11168234,-5.63466615,-11.3550861,504.3799104,-56.33033558,3.41412952,-0.7944921,0.10833
69,-0.006243,-0.112298,-5.725193,-12.325967,493.847576,-55.458104,3.083043,-0.859217,0.11666
70,-0.0049662,-0.11267488,-5.72985582,-14.00741092,478.4380092,-53.90790468,2.37611372,-0.91626008,0.125
71,-0.00309675,-0.11283662,-5.58667965,-15.88921452,456.410541,-51.49996674,1.41370976,-0.95263495,0.13333
72,-0.000653,-0.112472,-5.471921,-16.736723,428.779411,-48.22579,0.279793,-1.016371,0.14166
73,0.00241874,-0.11180274,-5.05670292,-15.77864616,395.668688,-44.236806,-0.95667546,-1.11652316,0.15
74,0.00580723,-0.1102242,-4.54985391,-12.98971647,358.2508984,-39.48816572,-2.08018566,-1.25866607,0.15833
75,0.00924,-0.108214,-3.860853,-8.546474,321.454896,-34.785861,-2.970186,-1.377077,0.16666
76,0.01286668,-0.10572612,-3.40536476,-3.5976689,286.5618977,-30.29736958,-3.6868286,-1.46544298,0.175
77,0.01632817,-0.10304504,-3.12281968,0.87290421,251.8772314,-25.9549776,-4.11225742,-1.54461182,0.18333
78,0.019477,-0.09929,-2.219387,5.221401,219.606777,-21.804812,-4.277174,-1.472905,0.19166
79,0.02343946,-0.0941961,-1.0487456,9.57748136,190.8496968,-17.97763746,-4.47330648,-1.34705132,0.2
80,0.02671176,-0.08845108,0.59335528,14.01316834,163.9073629,-14.4983568,-4.37812513,-1.10407424,0.20833
81,0.028915,-0.082945,2.445054,17.652208,139.252089,-11.550242,-4.026521,-0.7801,0.21666
82,0.030483,-0.078569,3.791053,20.049661,121.05597,-9.511217,-3.690201,-0.423137,0.225
83,0.03254724,-0.07154164,4.87550071,22.80332826,99.9253264,-7.1492956,-3.25197676,-0.15514968,0.23333
84,0.034475,-0.064591,5.508488,23.86854,86.881362,-5.611766,-2.995231,0.01322,0.24166
85,0.0354083,-0.0572508,6.34393906,23.86801922,77.49415184,-4.43672926,-2.74391202,0.15038342,0.25
86,0.03730582,-0.05239907,7.23176464,22.32783591,71.49972154,-3.74650698,-2.6673328,0.26107408,0.25833
87,0.040022,-0.049426,7.821336,21.027804,70.593995,-3.489212,-2.825292,0.18626,0.26666
88,0.03461056,-0.05214034,8.02675562,20.07361208,76.90565348,-4.01007094,-2.66136808,-0.00952998,0.275
89,0.02389597,-0.05895291,8.11200623,18.76354759,91.50605523,-5.39505106,-2.18597017,-0.16361684,0.28333
90,0.014769,-0.064195,6.216918,14.969929,113.362861,-7.277378,-1.674216,-0.178682,0.29166
91,0.01166962,-0.06719222,10.06022106,7.53635336,141.8599368,-9.53210228,-1.65550358,0.76958296,0.3
92,0.01224023,-0.06894213,15.88890359,0.08133385,178.2549591,-12.28937218,-2.18187314,2.09789129,0.30833
93,0.010448,-0.071153,19.735325,-9.627835,224.237166,-15.95505,-2.342777,2.741342,0.31666
94,0.00992288,-0.07255654,20.3074084,-20.06932794,271.6040932,-19.70685358,-2.69534074,2.13695422,0.325
95,0.01019802,-0.0727035,19.40381293,-26.35189308,316.6609138,-23.02216629,-3.22940967,1.16490429,0.33333
96,0.009906,-0.072,17.035843,-27.079682,365.306577,-26.301988,-3.618888,0.601052,0.34166
97,0.00800104,-0.07174442,12.89745904,-30.68120758,414.8544231,-29.7634694,-3.31882816,0.27440748,0.35
98,0.0034815,-0.07214222,7.38699032,-41.1239049,469.2627467,-33.85380969,-1.63310779,-0.14077616,0.35833
99,-0.000234,-0.072239,4.728695,-55.909534,523.13268,-37.790752,0.122241,-0.20406,0.36666
100,-0.00313952,-0.07088668,5.02507866,-66.47753708,571.0194106,-40.47705434,1.7930398,-0.029601,0.375
